path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE205054A01t037/N4/egn04w.1581E+02,bad,nstxuE205054A01t037,4,egn04w.1581E+02,3.9765393152824275,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.02,0.999983549118042,flagged_borderline_or_disagreement,4.228122393400697,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,98aa20d6beb671207d51f83d6916791d2081d9dbf52aeb332f33c93e65d7a0c0,nstxuE205054A01t037/N4/egn04w.1581E+02
nstxuE205054A01t037/N4/egn04w.1592E+02,bad,nstxuE205054A01t037,4,egn04w.1592E+02,3.990171544632148,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.04,0.9990442395210266,flagged_borderline_or_disagreement,16.331266717497016,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,dc2c6930e4f1a3de1565c4e427290d96cb1b747bceb75d83f2d821221a6eaae3,nstxuE205054A01t037/N4/egn04w.1592E+02
nstxuE205054A01t037/N7/egn07w.1216E+02,bad,nstxuE205054A01t037,7,egn07w.1216E+02,3.4868124882369282,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.11666666666666667,1.0,flagged_borderline_or_disagreement,5.088067074915666,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,afb0568c5657199d5f88c127a3184c82e8e02c96db1966d72d1a300c74b22a69,nstxuE205054A01t037/N7/egn07w.1216E+02
nstxuE205054A01t037/N8/egn08w.4715E+02,bad,nstxuE205054A01t037,8,egn08w.4715E+02,6.866698786199577,BAD,BAD_CONTINUUM_CROSSING_TAIL,GOOD,GOOD,GOOD,0.5066666666666667,0.9648623466491699,silver_good,1.2469140459613886,BAD_CONTINUUM_CROSSING_TAIL,,True,BAD,rule_engine,bf5165029aad2eb8bfad5cd8b39334f2cc03e0dd620ad05cb581c3a7de4029d1,nstxuE205054A01t037/N8/egn08w.4715E+02
nstxuE205054A01t037/N8/egn08w.7582E+02,bad,nstxuE205054A01t037,8,egn08w.7582E+02,8.707378572902531,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.023333333333333334,0.9986807703971863,flagged_borderline_or_disagreement,2.390709848242869,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,2a1fcc34d74e40f2276a9af4a0f28deb79fa107a4381ec3dee786d97a73cc8e7,nstxuE205054A01t037/N8/egn08w.7582E+02
nstxuE205055A01t022/N3/egn03w.7055E+01,bad,nstxuE205055A01t022,3,egn03w.7055E+01,2.6561953361248323,BAD,BAD_AXIS_SPIKE,BAD,BAD,GOOD,0.09333333333333334,1.0,flagged_borderline_or_disagreement,3.848288004963757,BAD_AXIS_SPIKE,,,BAD,rule_engine,cb67939917350f044ccb553968efbc9c26534f1a427e0147ed580e6cdfa62f90,nstxuE205055A01t022/N3/egn03w.7055E+01
nstxuE205055A01t022/N4/egn04w.8091E+01,bad,nstxuE205055A01t022,4,egn04w.8091E+01,2.8444669968006577,BAD,BAD_EDGE_SPIKE,GOOD,BAD,GOOD,0.43666666666666665,1.0,flagged_cnn_rescue,4.255136561100106,BAD_EDGE_SPIKE,,True,BAD,rule_engine,01797f0c9da578e85962b7f665b6ad7a703d4961751f72a52f5b66643b2c6507,nstxuE205055A01t022/N4/egn04w.8091E+01
nstxuE205055A01t022/N6/egn06w.9880E+01,good,nstxuE205055A01t022,6,egn06w.9880E+01,3.1431900692891017,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.8266666666666667,3.7508348214032594e-06,flagged_rf_only_good,0.725235720754824,BAD_CONT_CROSS_WINDOW,True,True,REVIEW,rule_survivor_policy,0470d5638abc03c0fde0f9e2e2de3f1fd67a3be8bb63889d2262400714efdd0a,nstxuE205055A01t022/N6/egn06w.9880E+01
nstxuE205055A01t022/N6/egn06w.1619E+02,bad,nstxuE205055A01t022,6,egn06w.1619E+02,4.024187382214086,BAD,BAD_CONT_CROSS_WINDOW,GOOD,GOOD,GOOD,0.5933333333333334,0.9970735311508179,silver_good,3.0842713198486025,BAD_CONT_CROSS_WINDOW,,True,BAD,rule_engine,3376fb44e07d5714e3fd8d0f949a8319f7ba23dfd7cca948251807013914aa46,nstxuE205055A01t022/N6/egn06w.1619E+02
nstxuE205055A01t022/N6/egn06w.2033E+02,bad,nstxuE205055A01t022,6,egn06w.2033E+02,4.508661369381161,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.0033333333333333335,0.9973787069320679,flagged_borderline_or_disagreement,6.179118013868845,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,0124f52833acc62d72f8e7169cd11648d26a4976c52f5d896dfcd0377edefd38,nstxuE205055A01t022/N6/egn06w.2033E+02
