boundary,crossing_r,singularity_r,offset_r,offset_grid,shot,ntor,path,in_training_list,gap_region,nr,in_interior
low,0.4330209304970427,0.39,0.0430209304970427,8.60418609940854,nstxuG121123N75,1,nstxuG121123N75/N1/egn01w.1836E+02,False,tae_like,201,True
high,0.9772086463184441,0.97,0.00720864631844409,1.441729263688818,nstxuG121123N75,1,nstxuG121123N75/N1/egn01w.1836E+02,False,tae_like,201,False
high,0.09914291655961582,0.13,-0.03085708344038418,-6.171416688076836,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.4092E+02,False,tae_like,201,True
high,0.8249325254771941,0.8200000000000001,0.0049325254771940275,0.9865050954388055,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.4092E+02,False,tae_like,201,False
high,0.33121239510403916,0.005,0.32621239510403915,65.24247902080783,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.5404E+02,False,mixed,201,True
high,0.430550980607147,0.675,-0.24444901939285302,-48.8898038785706,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.5404E+02,False,mixed,201,True
high,0.5950135183810779,0.675,-0.07998648161892219,-15.997296323784438,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.5404E+02,False,mixed,201,True
high,0.7529912191025313,0.745,0.00799121910253131,1.5982438205062621,nstxuG121123N75,2,nstxuG121123N75/N2/egn02w.5404E+02,False,mixed,201,False
low,0.19678339866315148,0.2,-0.0032166013368485347,-0.6433202673697069,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.1388E+02,False,mixed,201,True
low,0.4604379228780594,0.44,0.0204379228780594,4.08758457561188,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.1388E+02,False,mixed,201,True
high,0.014725554533675333,0.01,0.004725554533675333,0.9451109067350666,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.1388E+02,False,mixed,201,False
high,0.09488369760103899,0.14,-0.04511630239896103,-9.023260479792206,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.1388E+02,False,mixed,201,True
high,0.34730887797327337,0.315,0.032308877973273364,6.461775594654673,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.2780E+02,False,mixed,201,True
high,0.8636685801780097,0.845,0.018668580178009764,3.7337160356019528,nstxuG121123Q62,1,nstxuG121123Q62/N1/egn01w.2780E+02,False,mixed,201,False
low,0.19538368127477043,0.005,0.19038368127477043,38.076736254954085,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.4390E+02,False,tae_like,201,True
high,0.7701601697918384,0.76,0.010160169791838425,2.032033958367685,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.4390E+02,False,tae_like,201,False
high,0.9809713974766872,0.845,0.13597139747668718,27.194279495337437,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.4390E+02,False,tae_like,201,False
high,0.9896767497256136,0.845,0.14467674972561362,28.935349945122724,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.4390E+02,False,tae_like,201,False
high,0.10256596667090369,0.005,0.09756596667090368,19.513193334180738,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.6590E+02,False,mixed,201,True
high,0.4817563137916018,0.47000000000000003,0.011756313791601747,2.3512627583203494,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.6590E+02,False,mixed,201,True
high,0.9827008199439282,0.845,0.13770081994392824,27.54016398878565,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.6590E+02,False,mixed,201,False
high,0.987669086769952,0.845,0.14266908676995205,28.533817353990408,nstxuG121123R42,1,nstxuG121123R42/N1/egn01w.6590E+02,False,mixed,201,False
low,0.46388298534869216,0.455,0.00888298534869214,1.7765970697384281,nstxuG121123R42,2,nstxuG121123R42/N2/egn02w.2407E+02,False,tae_like,201,True
high,0.8744714517947332,0.87,0.004471451794733183,0.8942903589466367,nstxuG121123R42,2,nstxuG121123R42/N2/egn02w.2407E+02,False,tae_like,201,False
high,0.97306370163704,0.975,-0.0019362983629599428,-0.38725967259198857,nstxuG121123R42,2,nstxuG121123R42/N2/egn02w.2407E+02,False,tae_like,201,False
high,0.09834234888505561,0.145,-0.04665765111494438,-9.331530222988876,nstxuG121123R42,2,nstxuG121123R42/N2/egn02w.6465E+02,False,mixed,201,True
high,0.3752435718021163,0.34500000000000003,0.030243571802116287,6.048714360423258,nstxuG121123R42,2,nstxuG121123R42/N2/egn02w.6465E+02,False,mixed,201,True
low,0.20668635068832986,0.22,-0.013313649311670145,-2.6627298623340288,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,True
low,0.5209989024441164,0.515,0.005998902444116383,1.1997804888232766,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,True
high,0.012695998700485302,0.01,0.0026959987004853015,0.5391997400970603,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,False
high,0.08990011070563525,0.095,-0.005099889294364751,-1.0199778588729502,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,True
