shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuE204678M01t020,2,4,4,0,0,0,4,4,0.5466506718812936,0.5466506718812936,0.0,1.0,0.8617986380216947,,0,5,0,0,4,4,0.0,0,0
nstxuE204678M01t025,2,16,7,0,0,0,7,11,0.6401294008111957,0.6401294008111957,0.18181818181818182,0.9090909090909091,25.912740697259373,,2,40,0,0,21,27,0.07407407407407407,9,0
nstxuE204678M01t030,2,8,8,0,0,0,7,11,0.5207623582171195,0.5207623582171195,0.0,0.8181818181818182,0.6884724164166522,,0,25,0,0,8,13,0.0,0,0
nstxuE204707A04t015,2,8,3,0,0,0,3,3,0.17375998740262188,0.17375998740262188,0.0,1.0,0.4142213984631815,,0,34,0,0,4,6,0.0,5,0
nstxuE204707A04t020,2,15,10,0,0,0,10,17,0.6297591328718544,0.6297591328718544,0.0,1.0,0.880018805749101,,0,37,0,0,28,39,0.0,5,0
nstxuE204707A04t025,2,16,9,0,0,0,9,9,0.8201954638664355,0.8201954638664355,0.0,1.0,1.0991360131061367,,0,93,0,0,62,64,0.015625,7,0
nstxuE204707X02t017,2,13,6,0,0,0,6,9,0.3820521454240722,0.3820521454240722,0.0,1.0,0.7136463478247612,,0,46,0,0,18,23,0.0,7,0
nstxuE204707X02t020,2,18,11,0,0,0,11,18,0.48578144313792815,0.48578144313792815,0.0,1.0,0.8802471962775926,,0,41,0,0,29,40,0.05,7,0
nstxuE204707X02t027,2,11,6,0,0,0,6,8,0.3756164412160867,0.6730151705099607,0.125,0.75,1.289271773452311,,1,75,0,0,55,57,0.017543859649122806,5,0
nstxuE204707X02t035,2,13,8,0,0,0,8,8,0.4993670472629663,0.4993670472629663,0.0,1.0,0.7937361481562394,,0,27,0,0,22,22,0.0,5,0
nstxuE204708A06t017,2,8,3,0,0,0,3,13,0.8535732865291523,0.8535732865291523,0.15384615384615385,1.0,8.16298575421315,,2,36,0,0,9,44,0.045454545454545456,5,0
nstxuE204708A06t020,2,13,11,0,0,0,9,44,0.5654747354860823,0.5654747354860823,0.0,0.9772727272727273,0.8907202123204595,,0,29,0,0,12,62,0.0,2,0
nstxuE204708A06t025,2,15,9,0,0,0,9,11,0.26445328226283316,0.26445328226283316,0.0,1.0,0.5967605936028075,,0,20,0,0,12,14,0.0,6,0
nstxuE204708A06t035,2,9,7,0,0,0,7,7,0.6994520287832318,0.6994520287832318,0.0,1.0,1.0969102367423302,,0,21,0,0,8,9,0.0,2,0
