cohort,top2_min,local_min,radial_min,eligible_modes,good_modes,bad_modes,unlabeled_modes,good_survivors,bad_survivors,unlabeled_survivors,flagged_modes,good_flagged,bad_flagged,unlabeled_flagged,good_survivors_flagged,bad_survivors_flagged,unlabeled_survivors_flagged
batch_survivors,0.005,0.35,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.35,14.0,2363,575,1788,0,542,25,0,13,0,13,0,0,1,0
batch_survivors,0.005,0.35,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.35,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
batch_survivors,0.005,0.4,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.4,2.0,2363,575,1788,0,542,25,0,65,0,65,0,0,1,0
batch_survivors,0.005,0.4,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.4,4.0,2363,575,1788,0,542,25,0,51,0,51,0,0,1,0
batch_survivors,0.005,0.4,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.4,6.0,2363,575,1788,0,542,25,0,39,0,39,0,0,1,0
batch_survivors,0.005,0.4,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.4,8.0,2363,575,1788,0,542,25,0,35,0,35,0,0,1,0
batch_survivors,0.005,0.4,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.4,10.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.005,0.4,12.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.4,12.0,2363,575,1788,0,542,25,0,17,0,17,0,0,1,0
batch_survivors,0.005,0.4,14.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.4,14.0,2363,575,1788,0,542,25,0,10,0,10,0,0,1,0
batch_survivors,0.005,0.4,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.4,16.0,2363,575,1788,0,542,25,0,4,0,4,0,0,0,0
batch_survivors,0.01,0.05,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,2.0,2363,575,1788,0,542,25,0,330,0,330,0,0,1,0
batch_survivors,0.01,0.05,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,4.0,2363,575,1788,0,542,25,0,280,0,280,0,0,1,0
batch_survivors,0.01,0.05,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,6.0,2363,575,1788,0,542,25,0,226,0,226,0,0,1,0
batch_survivors,0.01,0.05,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,8.0,2363,575,1788,0,542,25,0,164,0,164,0,0,1,0
batch_survivors,0.01,0.05,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,10.0,2363,575,1788,0,542,25,0,110,0,110,0,0,1,0
batch_survivors,0.01,0.05,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,12.0,2363,575,1788,0,542,25,0,74,0,74,0,0,1,0
batch_survivors,0.01,0.05,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.05,14.0,2363,575,1788,0,542,25,0,50,0,50,0,0,1,0
batch_survivors,0.01,0.05,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.05,16.0,2363,575,1788,0,542,25,0,30,0,30,0,0,0,0
batch_survivors,0.01,0.1,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,2.0,2363,575,1788,0,542,25,0,255,0,255,0,0,1,0
batch_survivors,0.01,0.1,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,4.0,2363,575,1788,0,542,25,0,215,0,215,0,0,1,0
batch_survivors,0.01,0.1,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,6.0,2363,575,1788,0,542,25,0,175,0,175,0,0,1,0
batch_survivors,0.01,0.1,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,8.0,2363,575,1788,0,542,25,0,125,0,125,0,0,1,0
batch_survivors,0.01,0.1,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,10.0,2363,575,1788,0,542,25,0,80,0,80,0,0,1,0
batch_survivors,0.01,0.1,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,12.0,2363,575,1788,0,542,25,0,52,0,52,0,0,1,0
batch_survivors,0.01,0.1,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.1,14.0,2363,575,1788,0,542,25,0,37,0,37,0,0,1,0
batch_survivors,0.01,0.1,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.1,16.0,2363,575,1788,0,542,25,0,19,0,19,0,0,0,0
batch_survivors,0.01,0.15,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,2.0,2363,575,1788,0,542,25,0,219,0,219,0,0,1,0
batch_survivors,0.01,0.15,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,4.0,2363,575,1788,0,542,25,0,185,0,185,0,0,1,0
batch_survivors,0.01,0.15,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,6.0,2363,575,1788,0,542,25,0,148,0,148,0,0,1,0
batch_survivors,0.01,0.15,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,8.0,2363,575,1788,0,542,25,0,107,0,107,0,0,1,0
batch_survivors,0.01,0.15,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,10.0,2363,575,1788,0,542,25,0,67,0,67,0,0,1,0
