mode_key,path,input_fingerprint,previous_decision,previous_reason,current_status
nstxuG142301C50/N1/egn01w.2214E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2214E+03,9fae82d8ae5eb8019c6bd6acc3f139e6cd89e34688e9b1c1ede9fbc8ae2bb063,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2224E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2224E+03,b6d85becb2a5f9f70f4caa00aaf8ee907a13e8b6934b5112f57f5ed03ea886c5,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4040E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4040E+03,1b9dc2e5ece1acede570f623bf6ec916d4fb5a7c00272e0e6583f0987c2f493c,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4054E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4054E+03,26638b2fccf446d118599afe8d59328cf012d39ede7171f3d6323a1f88897b1b,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4055E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4055E+03,57d18fff0d356a4dab4bb97e1e4edb926a6b638fae5e1b7fb31509bd64ea5bd9,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4056E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4056E+03,cf1b6db72165a1cb6eeda218d008d725958a584e2b22732ea9b157decbb46ed7,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4057E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4057E+03,b5ecb6efd37ed8095437d02075a325b1fe503ea5290152da5d200d5729e6e6d3,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4058E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4058E+03,fcc4ceaeb0c2b8d690d04da617595fb4e07dc388386294de112f54a3ef2c99a3,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4060E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4060E+03,9f84f289597805ec4c5323172d89170b324e8cc799f90497d8af6d2cc76324d5,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4066E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4066E+03,ffee21bae86ab3e98ed32354a71bda103f9a24dfb67b727bb2d08b694cc11735,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
