cohort,mode_key,input_fingerprint,label_or_decision,fraction_below_upper2,signed_delta,old_route,candidate_route
regression15,nstxuE205054A01t037/N10/egn10w.5236E+02,ccaad2d65997f74b52b6d091fbd88fdf0574462ac9b323e0f12e5be9d825d401,BAD,0.15650810593313227,0.14252116823584454,mixed,eae_like
regression15,nstxuE205054A01t037/N10/egn10w.5327E+02,e0d346d449ea116cea468d206e3244d48fb8381cb93b046a8d06854f72261f8d,BAD,0.1874814823122381,0.11955947161362049,mixed,eae_like
regression15,nstxuE205057A01t020/N1/egn01w.5287E+01,2bc49a83bd80671700c882f3c0d381edae5491aad34fe19177a27de3ebec58a0,BAD,0.09765185473289191,-0.009226926664708085,mixed,eae_like
regression15,nstxuE205057A01t020/N1/egn01w.6074E+01,a80b751193d7a91c70e1b09541249d2de8896e1a994cae541fd55b7f01aed811,BAD,0.15770599728939325,0.010832438059809176,mixed,eae_like
regression15,nstxuE205057A01t020/N1/egn01w.6368E+01,5c5c60dcefdb8a67074e2e3331f36ce89a42300ed637c4c979b3f7365557d1f7,BAD,0.10851389975239949,-0.0399245416192431,mixed,eae_like
regression15,nstxuE205057A01t020/N10/egn10w.5850E+01,7e1aaacf3e1edad1a93da4b02dc978dfca0fe76b9cb37d774280570dc3b406d2,BAD,0.08765575938701566,0.012917904785952441,mixed,eae_like
regression15,nstxuE205057A01t020/N10/egn10w.6023E+01,7996451d9b7c167fdc118c242f94d598595eae55d6e0a030c136a1c614f673d0,BAD,0.1868217314359926,0.2115492080940386,mixed,eae_like
regression15,nstxuG121123K70/N8/egn08w.3894E+02,068a08b417d1b01d170af8efa9483b36b29c5b3b37793c3325529592c82a319f,BAD,0.16732978603890564,-0.07160694786739823,mixed,eae_like
regression15,nstxuG142301E72/N10/egn10w.2460E+02,65fceb16d7a2ad9c4b2552dcf74b5f16f1a868ecd0721a2ae7b87b8f7d0658dc,BAD,0.018863260453456807,-0.006793488152962358,mixed,eae_like
pilot12,nstxuE205040A01t016/N2/egn02w.3853E+01,8784343e112492047b614d96dd8c5346e9ab4a16b688a0db496f2c8cf548df9b,BAD,0.10457566507470144,0.0639045230906346,mixed,eae_like
pilot12,nstxuE205040A01t016/N3/egn03w.3637E+01,5910065507fc359ef13e0548aa72e2e76c21258db0276acef9668faefaebbd16,BAD,0.013746072080143529,3.57230096566578e-05,mixed,eae_like
pilot12,nstxuE205040A01t016/N3/egn03w.4592E+01,c857ab3ad9a21cc06d35697e3e762c605c7bb808b7d704814f3f699cbb3af9ee,BAD,0.04197514684593878,0.05935594389005252,mixed,eae_like
pilot12,nstxuE205040A01t016/N3/egn03w.5297E+01,b8beba5607a248dbd4297443ddf0b7f85f42270d87f1bf3862922a90e0ac7253,BAD,0.12956376091009364,0.07533943911241917,mixed,eae_like
pilot12,nstxuE205040A01t016/N3/egn03w.9413E+01,fa67b47b18bdfdf10ba8173de2070a0190fd4efb69406222d692b21569810e17,BAD,0.17926841345736313,0.1174391260491169,mixed,eae_like
pilot12,nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,GOOD,0.18025997916149622,-0.06881226631557626,mixed,eae_like
pilot12,nstxuE205040A01t016/N7/egn07w.3696E+01,1799394db668f660f5f3899b3d8180e02bd951d742c62396afc57fee8bf911ee,BAD,0.11866714077436212,0.29219900758409423,mixed,eae_like
pilot12,nstxuE205040A01t016/N7/egn07w.4174E+01,516e80880c597a12efc72224f2b10ed09b7d3635ed974866727e258fe11f82fa,BAD,0.16791068666377473,0.28452644643484726,mixed,eae_like
pilot12,nstxuE205040A01t016/N7/egn07w.1481E+02,203df6346155ab36e93220f6c1f0291e34246b059d26734621439775cb5367a8,BAD,0.1153385985745266,-0.049292409413325966,mixed,eae_like
pilot12,nstxuE205040A01t016/N8/egn08w.3720E+01,2db198a407213589769d0bda6420a28a9f1a291890399a0d852ff6233146af8d,BAD,0.04250407470558849,0.06933869427013838,mixed,eae_like
pilot12,nstxuE205040A01t016/N8/egn08w.3818E+01,e5dcaf545ad4f0733ba229068a738d17ec170027fcf4d16b36f3d7d02243d45d,BAD,0.04671848123908746,-0.0861795233498549,mixed,eae_like
pilot12,nstxuE205040A01t016/N8/egn08w.5508E+01,67848a1a58421f6020b2b1afdc05a551491c94467da35a7be82fc02787b8820e,BAD,0.044704231896125365,-0.039172047005072486,mixed,eae_like
pilot12,nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,GOOD,0.10001166096741985,0.10489440075579762,mixed,eae_like
pilot12,nstxuE204944A01t017/N1/egn01w.5511E+01,209f9798551d5424bb71d1d05c9046f50d0b24cbecc8994017dd82dc7f35bbc7,BAD,0.013026478105086607,-0.02827911748160925,mixed,eae_like
pilot12,nstxuE204944A01t017/N1/egn01w.5899E+01,8eb0cba528723a4b95c3ca521b58f81ef613468d4e2a661726ff63a0f05e58f9,BAD,0.14598479452907343,-0.018670143598725576,mixed,eae_like
pilot12,nstxuE204944A01t017/N1/egn01w.5979E+01,908fa6deed66ec069f44f6720aea1956ae2ec66f547305a6ba4ddff59b16636d,BAD,0.13377641444732297,-0.07380214362518517,mixed,eae_like
pilot12,nstxuE204944A01t017/N1/egn01w.6029E+01,904d9cd7e6a4042e6d725235c3fb56f0fa55f6fa7be7ec624a9f6b1f301b164e,BAD,0.11873135820592917,-0.02866892049812972,mixed,eae_like
pilot12,nstxuE204944A01t017/N1/egn01w.6074E+01,47be37508ed3eb89084fb95af7022d42eb9b2ddb981bf3e72986c0c4b446ff91,BAD,0.11467543775478051,-0.008240401484501166,mixed,eae_like
pilot12,nstxuE204708F03t017/N7/egn07w.2056E+02,edba99371e623f7efe97fc0c1162229fe286a141b5ebeb4ae07b98ae790d0bef,BAD,0.10253348139121253,-0.008692532723526243,mixed,eae_like
pilot12,nstxuE204708F03t017/N8/egn08w.1536E+02,a540f10410865bcc19f6874690b05296c7b479c596ad7d9d4df6bced591e3bdf,BAD,0.1640208986907562,-0.0912249372842994,mixed,eae_like
pilot12,nstxuE204708F03t017/N10/egn10w.1505E+02,8ae11bd92fcb17dccaeb91deaf782a5fc0bbd8b2ae2e2f96e39551542b2e9b68,BAD,0.1455420436887504,0.006903440232449811,mixed,eae_like
pilot12,nstxuE204645A16t015/N8/egn08w.1597E+02,5e121be02850f28bdbbe9f194fa2080fa5923adde9e6384dba01e4ecac1accbd,BAD,0.12095171450882009,0.1085379307523248,mixed,eae_like
pilot12,nstxuE204645A16t015/N9/egn09w.1228E+02,7005893cc789c605f5986504b3a5466f4ff5fda3656e225ab4c7209a2413cc09,BAD,0.026701425898254666,-0.06093316909573879,mixed,eae_like
pilot12,nstxuE204645A16t015/N9/egn09w.1363E+02,045366e3c9a1620a117c5e2dbfd4e06b62271452c8d6a4a9de08fd090497977c,BAD,0.023951681842696526,-0.08832353864590434,mixed,eae_like
pilot12,nstxuE204645A16t015/N10/egn10w.1302E+02,0abc3e87a016fb53678b80b5c72ccd76b9570647f37b21ba33e51bad71d35c78,BAD,0.14755840009917218,0.21060704488180662,mixed,eae_like
pilot12,nstxuE204645A16t015/N10/egn10w.1308E+02,72d216c63bcec5f6a777cf70a3f0435854222a36e5d96615de5fba4dfd37feb4,BAD,0.07086282486423998,0.043511217458255515,mixed,eae_like
pilot12,nstxuE204645A16t015/N10/egn10w.1378E+02,458cb675f606499ea364a61bd12a4859e65ea9ddc7a1e0ded12f679bb9eb3082,BAD,0.17205393690556445,0.22556173194712595,mixed,eae_like
pilot12,nstxuE204645A16t015/N10/egn10w.1385E+02,d2ae9fb8b37cab595c86e069d890d23394be0e09642ac411b9fd6a37f8e0cc83,BAD,0.06530343515290886,-0.006484149046236462,mixed,eae_like
pilot12,nstxuE204621A03t030/N1/egn01w.8168E+01,42970cc1f29f1d2f59da1d6dc1f189bbfff20ce0f1508c363e6e890a536509ee,BAD,0.07641782032782085,-0.06651461070043041,mixed,eae_like
pilot12,nstxuE204621A03t030/N2/egn02w.8027E+01,90735d1b063acd35f90d1186bdc8823b420735beac65d67cef0d5b2c3ef9bc9b,BAD,0.1070581342928535,0.0966664559791488,mixed,eae_like
pilot12,nstxuE204621A03t030/N2/egn02w.8122E+01,0229f1a407c0133af929e5a23112f0991f076bea1f091e4b5f10849666e189a0,BAD,0.1991988922308887,0.28331421426503983,mixed,eae_like
pilot12,nstxuE204621A03t030/N2/egn02w.9534E+01,157227453186a77d3a57a178d6ac8212317f183e3fbb49543388857f3cc6e942,BAD,0.1879806538058575,0.08972324913496751,mixed,eae_like
pilot12,nstxuE204621A03t030/N3/egn03w.7688E+01,19c1f1917b9307a9c7c6cc45c8717a077d77bbca763009b89408e159bfbe9cbf,BAD,0.1474917182752827,0.22998453746646566,mixed,eae_like
pilot12,nstxuE204621A03t030/N4/egn04w.7834E+01,1367a80daa37ec6fbd4131514c74d3abdf41295ebd7fb3e92d29eb792c0a086f,BAD,0.058471359985602996,0.05121330993843858,mixed,eae_like
pilot12,nstxuE204621A03t030/N4/egn04w.8404E+01,d8879122d7f2f4552ddeabf8577c4abe9f61b08d705b027d80c0b8fc063a41c8,BAD,0.06479583429396805,-0.025741980013438234,mixed,eae_like
pilot12,nstxuE204621A03t030/N4/egn04w.8713E+01,427d568a2642e51151c7a59d1549c8512838a219b596e44cfe8aaba0a1206730,BAD,0.19812505381080914,0.23691399579040143,mixed,eae_like
