path,mode_key,shot,n,omega,gap_region,signed_delta,fraction_below_upper2,input_fingerprint,disagreement_type,rules_final_decision,rule_decision,rule_primary_reason,rule_triggered_rules,rule_survivor_policy,rule_survivor_accepted,rules_selected_final,rf_cnn_final_label,rf_cnn_tier,p_rf_good,p_cnn_good,p_avg,rf_cnn_model_disagreement,rf_cnn_near_threshold,rf_cnn_large_score_gap,rf_cnn_selected_final
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N8/egn08w.9371E+01,nstxuE203963A01t025/N8/egn08w.9371E+01,nstxuE203963A01t025,8,3.061206174736262,tae_like,0.9659831889960012,0.9996078221820235,f1d556c8327db69de5c960238d21dcd0a574836a8414b0f2dfcf9c31db29c0e0,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.8266666666666667,1.0,0.9133333333333333,False,False,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N9/egn09w.8470E+01,nstxuE203963A01t025/N9/egn09w.8470E+01,nstxuE203963A01t025,9,2.9103531978128934,tae_like,0.9801235431869291,0.9918621099879349,e6dea7de0665a8f6a1f0c327d337fb434467d6ce29ed5363112c22f1759c39aa,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5233333333333333,0.0,0.26166666666666666,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N10/egn10w.4539E+01,nstxuE203963A01t025/N10/egn10w.4539E+01,nstxuE203963A01t025,10,2.130416797214097,tae_like,0.8343675080410278,0.9967038109576007,2ac9f9444b8c6c1a086499f15606e68f9d470841d067440fe3da01325591a196,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.44333333333333336,2.8846453466529966e-16,0.22166666666666682,False,True,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N10/egn10w.1077E+02,nstxuE203963A01t025/N10/egn10w.1077E+02,nstxuE203963A01t025,10,3.281272321352648,tae_like,0.9434344822361987,0.999465699786135,7edb050c2b0f740e09fb9282d6f2ffb82da87009d6489b2d2249549e24d88ab4,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.77,0.06148049980401993,0.41574024990201,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N4/egn04w.3005E+02,nstxuE205045A01t022/N4/egn04w.3005E+02,nstxuE205045A01t022,4,5.482199626674547,tae_like,0.9601443012296101,0.9853659787826368,9e361e1899d2bb12dbc62d9d5d964a0b09d70ecf21d6777093893fe84f741903,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.21333333333333335,1.0,0.6066666666666667,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N5/egn05w.3216E+02,nstxuE205045A01t022/N5/egn05w.3216E+02,nstxuE205045A01t022,5,5.670542062817647,tae_like,0.9666613216284576,0.9891997956383122,f419cac766244e4d84003d800aaa400c016b3966d517a638552f9ee919295d42,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.3433333333333333,0.9995003938674927,0.671416863600413,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N7/egn07w.2662E+02,nstxuE205045A01t022/N7/egn07w.2662E+02,nstxuE205045A01t022,7,5.159725702559963,tae_like,0.9529222880566188,0.992143155877448,8bd689d101a3b0eace28078a37c439c4c59225240da910b93dc098e7c8d3640c,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.14666666666666667,1.0,0.5733333333333334,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N7/egn07w.2845E+02,nstxuE205045A01t022/N7/egn07w.2845E+02,nstxuE205045A01t022,7,5.333475425567422,tae_like,0.9649798770871871,0.9945746156312751,76862c87061215fa8f54e7e7b7859edcb47217d441251654f2331e74285234d3,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.21666666666666667,1.0,0.6083333333333334,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N7/egn07w.4458E+02,nstxuE205045A01t022/N7/egn07w.4458E+02,nstxuE205045A01t022,7,6.677087780878176,tae_like,0.9597426778671984,0.9715101200165219,6e15355a98345169435f4aff19b603f47669c7b9bc5d9a1708559d60fdb92f09,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.12,1.5779903425605646e-11,0.06000000000788995,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N8/egn08w.2462E+02,nstxuE205045A01t022/N8/egn08w.2462E+02,nstxuE205045A01t022,8,4.962063628401257,tae_like,0.9282456166372597,0.9885134291851763,225f49d8a47db541cd2bae01145845e139082800ab32461d8c90db8d8bd035e2,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.18,0.9999282360076904,0.5899641180038452,True,False,True,
