path,label,shot,ntor,omega,gap_region,final_decision,final_reason,automatic_final_decision,original_rule_decision,rule_primary_reason,decision_source,manual_decision,manual_reason,reviewer,adjudication_timestamp,selected_final,overall_rule_severity,input_fingerprint,mode_key,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good
nstxuE202944A02t021/N9/egn09w.7538E+01,bad,nstxuE202944A02t021,9,2.745490564837519,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.5364419473758808,b1a31cff9dabd10f15f374a3129a1cdd3219da8d8701c50f85bc1b369d204b1a,nstxuE202944A02t021/N9/egn09w.7538E+01,GOOD,GOOD,BAD,0.99,0.017776193097233772
nstxuE202944A02t021/N9/egn09w.8224E+01,bad,nstxuE202944A02t021,9,2.867686367578583,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.3266085626986288,90b51de7c62db3053a1c54468db6756221cc1362538143603fdcd7e053ed0a53,nstxuE202944A02t021/N9/egn09w.8224E+01,GOOD,GOOD,GOOD,0.98,1.0
nstxuE202944A02t021/N9/egn09w.1500E+02,bad,nstxuE202944A02t021,9,3.8725526811254745,tae_like,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,rule_engine,,,,,,1.2089267477997867,452773602f012359ceb2d1a9f7d7382760a6b712a54cc85ecf0d249e152537c3,nstxuE202944A02t021/N9/egn09w.1500E+02,GOOD,GOOD,GOOD,0.7666666666666667,0.6424185037612915
nstxuE202944A02t021/N10/egn10w.7005E+01,bad,nstxuE202944A02t021,10,2.6467210077617978,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,2.5617694625250045,3e4b433bc5dfcea9d9bc6341ef1611b5097dad4d9e737cf178f9c738f49a67f7,nstxuE202944A02t021/N10/egn10w.7005E+01,GOOD,GOOD,BAD,0.84,9.277496494603957e-24
nstxuE202944A02t021/N10/egn10w.7125E+01,bad,nstxuE202944A02t021,10,2.6691814678022943,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,4.303349904493219,b1579db4f65bedd3615cf90f904a2599132eafb3f7463c205e2db916be6dffb3,nstxuE202944A02t021/N10/egn10w.7125E+01,GOOD,GOOD,BAD,0.5166666666666667,0.0
nstxuE202944A02t021/N10/egn10w.7332E+01,bad,nstxuE202944A02t021,10,2.7078136626094627,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.2827357852612054,86f6ac673056a7330a5126e768970a3e4f132abf4f3b0dfa31e59eb18fedf6fb,nstxuE202944A02t021/N10/egn10w.7332E+01,GOOD,GOOD,BAD,0.9833333333333333,1.6184998862663991e-28
nstxuE202944A02t021/N10/egn10w.1626E+02,bad,nstxuE202944A02t021,10,4.0326911183786445,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.6464609789974207,b429b1cd1fd7aee4c25a008fab1a9bf4351f375d1cfcff91b38605c961579e5e,nstxuE202944A02t021/N10/egn10w.1626E+02,GOOD,GOOD,BAD,0.6366666666666667,8.341078695794923e-12
nstxuE202947A03t015/N4/egn04w.4655E+01,bad,nstxuE202947A03t015,4,2.1574977916109015,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.8002282871418833,abf0d0e63e52b4f1ced24700453388995a3338783f3d2e4efb1cb8771788aa9d,nstxuE202947A03t015/N4/egn04w.4655E+01,GOOD,GOOD,GOOD,0.5033333333333333,0.9998311996459961
nstxuE202947A03t015/N6/egn06w.1062E+01,bad,nstxuE202947A03t015,6,1.0304243417718515,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.0382349923708039,65632535d94ca5fb61ba1124265fbb78421814d00ef4749b0789fde679253bc3,nstxuE202947A03t015/N6/egn06w.1062E+01,GOOD,GOOD,BAD,0.56,0.0
nstxuE202947A03t015/N6/egn06w.2056E+01,good,nstxuE202947A03t015,6,1.4338557299524362,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.5524966208570271,e09123c9800bf582aa1a7fc4e323d0dd839a64b19da8aa6e20bb989e3709a0b0,nstxuE202947A03t015/N6/egn06w.2056E+01,BAD,BAD,GOOD,0.22,0.9999997615814209
nstxuE202947A03t015/N7/egn07w.1193E+01,bad,nstxuE202947A03t015,7,1.0924320948632622,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.107439013776344,d12cea97d899a7792d0cdd2c5d33bef8c9ff607601f3a2608e2ee7aeb2955ae1,nstxuE202947A03t015/N7/egn07w.1193E+01,GOOD,GOOD,BAD,0.5433333333333333,0.0
nstxuE202947A03t015/N7/egn07w.3289E+01,bad,nstxuE202947A03t015,7,1.813697355755096,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.0787795776088578,589b1f212bd6cc39806fcf089833ab9c3c0dd86a4c99d6505ff1dc159d9d0837,nstxuE202947A03t015/N7/egn07w.3289E+01,GOOD,GOOD,BAD,0.8766666666666667,2.3303974903092625e-15
nstxuE202947A03t015/N8/egn08w.1496E+01,bad,nstxuE202947A03t015,8,1.2229850874630779,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,3.3333333333333335,47edca2deaf9fc67b180af7573add3fa8d30dc6e223b8658d4859a4e6cdbb747,nstxuE202947A03t015/N8/egn08w.1496E+01,GOOD,GOOD,BAD,0.5566666666666666,0.0
nstxuE202947A03t015/N8/egn08w.3960E+01,bad,nstxuE202947A03t015,8,1.9899389077297607,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.603480985574011,48d39f90c2db867d9fb6b56c1686f1eb6e40b2abd183e83913ead9dd16933840,nstxuE202947A03t015/N8/egn08w.3960E+01,GOOD,GOOD,BAD,0.8133333333333334,0.0
nstxuE202947A03t015/N9/egn09w.2108E+01,good,nstxuE202947A03t015,9,1.4520464570549125,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.9525927953363806,90caee9e2468b4077ed1211edbd8578da4fc68820c73a4d7575d2543ac409cf9,nstxuE202947A03t015/N9/egn09w.2108E+01,BAD,BAD,BAD,0.19333333333333333,0.0
nstxuE202947A03t015/N9/egn09w.3219E+01,bad,nstxuE202947A03t015,9,1.794198163457228,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.6151019266822022,5a4420e9452f66751518774744e8282ef68f758f6719fe7d6607059274ceb607,nstxuE202947A03t015/N9/egn09w.3219E+01,GOOD,GOOD,BAD,0.76,0.0
nstxuE202947A03t015/N9/egn09w.4140E+01,bad,nstxuE202947A03t015,9,2.034599654606042,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.2572158858480476,35ed0bef788883990f80b8cab544f5ddad1c629a2f77cff35169db0fce77d814,nstxuE202947A03t015/N9/egn09w.4140E+01,GOOD,GOOD,BAD,0.81,0.0
nstxuE202947A03t015/N10/egn10w.7476E+00,bad,nstxuE202947A03t015,10,0.8646673722466218,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.6506265354808474,cafbb8b5d822f8d32e443b3d98d68b091e5d466b434969839560fe413c1bb9db,nstxuE202947A03t015/N10/egn10w.7476E+00,GOOD,GOOD,BAD,0.6033333333333334,0.0
