shot,candidate_after_primary_holds,current_mode_files,hold_reasons,secondary_n1_hold,recorded_n1_status
nstxuE204957F05t017,True,506,,False,CROSSINGS_WITH_EMPTY_LOG
nstxuE204957F05t020,True,607,,False,NO_USABLE_CORE_COMPARISON
nstxuE204957F05t027,True,748,,False,NO_USABLE_CORE_COMPARISON
nstxuE204957F05t034,True,641,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205016A01t017,True,843,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205016A01t020,True,393,,False,ISOLATED_MODEST_OFFSET
nstxuE205016A01t025,True,398,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205016A01t032,True,719,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205017A01t017,True,401,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205017A01t020,True,638,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205017A01t030,True,884,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205034A01t017,True,426,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205034A01t020,True,579,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205034A01t021,True,764,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205034A01t023,True,742,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205035A01t017,True,481,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205035A01t025,True,197,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205035A01t030,True,587,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205040A01t018,True,247,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205040A01t020,True,296,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205040A01t022,True,472,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205042A01t017,True,223,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205042A01t020,True,441,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205042A01t025,True,158,,False,NO_USABLE_CORE_COMPARISON
nstxuE205045A01t017,True,782,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205045A01t027,True,620,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205045A01t035,True,620,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205052A01t017,True,843,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205052A01t027,True,736,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205052A01t035,True,415,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205054A01t017,True,899,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE205054A01t020,True,735,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205054A01t027,True,408,,False,NO_USABLE_CORE_COMPARISON
nstxuE205055A01t017,True,998,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE205055A01t027,True,741,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205055A01t037,True,520,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205057A01t017,True,984,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205057A01t025,True,623,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205057A01t030,True,1056,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205059A01t017,True,720,,False,NO_USABLE_CORE_COMPARISON
nstxuE205059A01t020,True,871,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205059A01t025,False,,N1_PRIORITY_REVIEW,False,REPEATED_MODEST_OFFSET
nstxuE205059A01t030,True,827,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205072A02t017,True,632,,False,NO_USABLE_CORE_COMPARISON
nstxuE205072A02t020,True,721,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205072A02t027,True,1028,,False,WITHIN_REVIEW_TOLERANCE
nstxuE205072A02t034,True,405,,False,WITHIN_REVIEW_TOLERANCE
nstxuG121123N22,False,,N1_PRIORITY_REVIEW,False,SPARSE_DISCREPANCY
nstxuG121123N75,False,,N1_PRIORITY_REVIEW,False,SPARSE_DISCREPANCY
nstxuG121123Q62,False,,N1_PRIORITY_REVIEW|SUSPENDED_CONTINUUM,False,REPEATED_DISCREPANCY
nstxuG121123R42,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG133964R48,True,1049,,True,BRANCH_AND_EAE_SIDE_REVIEW
nstxuG133964U27,True,1024,,True,BRANCH_AND_EAE_SIDE_REVIEW
nstxuG133964U37,False,,N1_PRIORITY_REVIEW,False,SPARSE_DISCREPANCY
nstxuG142301B37,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301B85,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301D46,False,,N1_PRIORITY_REVIEW|FLAGGED_NAN_INPUT,False,REPEATED_DISCREPANCY
nstxuG142301E34,False,,N1_PRIORITY_REVIEW,False,SPARSE_MISSING_COUNTERPARTS
nstxuG142301E55,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301E77,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301F62,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301F66,False,,N1_PRIORITY_REVIEW,False,SPARSE_DISCREPANCY
nstxuG142301F83,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301K79,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301L89,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301M21,False,,FLAGGED_NAN_INPUT,False,MISSING_MATCHING_LOGS
nstxuG142301M32,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxuG142301Q91,True,460,,False,NO_N1_INPUTS
nstxuG142301S39,True,684,,False,NO_N1_INPUTS
nstxuG142301S94,False,,N1_PRIORITY_REVIEW,False,SPARSE_DISCREPANCY
nstxuG142301U85,False,,N1_PRIORITY_REVIEW,False,REPEATED_DISCREPANCY
nstxu_202806,False,,EMPTY_SHOT,False,NO_N1_INPUTS
