path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstxuG142301Y93/N1/egn01w.1613E+02,high,0.042411076938541896,0.07,-0.02758892306145811,-5.5177846122916225,201
nstxuG142301Y93/N1/egn01w.1613E+02,high,0.7306408115168718,0.72,0.010640811516871795,2.128162303374359,201
nstxuG142301Y93/N1/egn01w.1674E+02,high,0.05496748897117287,0.08,-0.02503251102882713,-5.006502205765425,201
nstxuG142301Y93/N1/egn01w.1674E+02,high,0.7246736330050644,0.71,0.014673633005064413,2.9347266010128825,201
nstxuG142301Y93/N1/egn01w.1715E+02,high,0.06291136233592011,0.095,-0.03208863766407989,-6.417727532815978,201
nstxuG142301Y93/N1/egn01w.1715E+02,high,0.7206643285419145,0.705,0.015664328541914574,3.132865708382915,201
nstxuG142301Y93/N1/egn01w.1732E+02,high,0.06649031213507876,0.1,-0.03350968786492124,-6.7019375729842485,201
nstxuG142301Y93/N1/egn01w.1732E+02,high,0.718942673713194,0.705,0.01394267371319402,2.788534742638804,201
nstxuG142301Y93/N1/egn01w.1894E+02,high,0.11345285886323773,0.15,-0.03654714113676226,-7.309428227352452,201
nstxuG142301Y93/N1/egn01w.1894E+02,high,0.7037386836908247,0.685,0.018738683690824653,3.7477367381649307,201
nstxuG142301Y93/N1/egn01w.1902E+02,high,0.11635064481271935,0.15,-0.03364935518728064,-6.729871037456128,201
nstxuG142301Y93/N1/egn01w.1902E+02,high,0.702938601376309,0.685,0.017938601376308982,3.5877202752617965,201
nstxuG142301Y93/N1/egn01w.1937E+02,high,0.1282413577700728,0.005,0.1232413577700728,24.64827155401456,201
nstxuG142301Y93/N1/egn01w.1937E+02,high,0.6997088004054627,0.68,0.019708800405462634,3.941760081092527,201
nstxuG142301Y93/N1/egn01w.2146E+02,high,0.19726892881813898,0.17,0.02726892881813897,5.453785763627794,201
nstxuG142301Y93/N1/egn01w.2146E+02,high,0.6797312956812436,0.65,0.029731295681243552,5.9462591362487105,201
nstxuG142301Y93/N1/egn01w.2168E+02,high,0.20380574290440065,0.23500000000000001,-0.031194257095599365,-6.238851419119873,201
nstxuG142301Y93/N1/egn01w.2168E+02,high,0.6773768258448888,0.645,0.03237682584488877,6.475365168977754,201
nstxuG142301Y93/N1/egn01w.9416E+01,low,0.5856225218697426,0.5750000000000001,0.010622521869742552,2.1245043739485103,201
