path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstxuE204669M03t025/N1/egn01w.9754E+01,high,0.18010398137682865,0.17500000000000002,0.005103981376828631,1.0207962753657263,201
nstxuE204669M03t025/N1/egn01w.9800E+01,high,0.18368986165937265,0.18,0.0036898616593726563,0.7379723318745313,201
nstxuE204669M03t025/N1/egn01w.9851E+01,high,0.18747066891952677,0.185,0.0024706689195267695,0.4941337839053539,201
nstxuE205052A01t022/N1/egn01w.1125E+02,high,0.1298019149864616,0.13,-0.00019808501353840713,-0.039617002707681426,201
nstxuE205052A01t022/N1/egn01w.1154E+02,high,0.1466103059823879,0.145,0.0016103059823878996,0.3220611964775799,201
nstxuE205052A01t022/N1/egn01w.1164E+02,high,0.15138059193488773,0.15,0.0013805919348877371,0.2761183869775474,201
nstxuE205052A01t022/N1/egn01w.1174E+02,high,0.15628676229211452,0.155,0.0012867622921145239,0.2573524584229048,201
nstxuE205052A01t022/N1/egn01w.1185E+02,high,0.16121121206667396,0.155,0.006211212066673966,1.2422424133347931,201
nstxuE205052A01t022/N1/egn01w.1194E+02,high,0.16518789969605213,0.16,0.005187899696052128,1.0375799392104257,201
nstxuE205052A01t022/N1/egn01w.1196E+02,high,0.16609703170422704,0.16,0.0060970317042270405,1.219406340845408,201
nstxuE205052A01t022/N1/egn01w.1209E+02,high,0.17109857262005296,0.165,0.00609857262005295,1.21971452401059,201
nstxuE205052A01t022/N1/egn01w.1222E+02,high,0.17607906426155645,0.17,0.006079064261556438,1.2158128523112877,201
nstxuE205052A01t022/N1/egn01w.1235E+02,high,0.18106871904798663,0.17500000000000002,0.006068719047986615,1.213743809597323,201
nstxuE205052A01t022/N1/egn01w.1249E+02,high,0.18606570651535878,0.18,0.0060657065153587875,1.2131413030717575,201
nstxuE205052A01t022/N1/egn01w.1264E+02,high,0.19106911362081339,0.185,0.006069113620813388,1.2138227241626776,201
nstxuE205052A01t022/N1/egn01w.1280E+02,high,0.19607687844465777,0.19,0.006076878444657763,1.2153756889315526,201
nstxuE205052A01t022/N1/egn01w.1296E+02,high,0.20108960043170168,0.195,0.006089600431701675,1.217920086340335,201
nstxuE205052A01t022/N1/egn01w.1313E+02,high,0.2061056394755163,0.2,0.006105639475516289,1.2211278951032578,201
nstxuE205052A01t022/N1/egn01w.1330E+02,high,0.2111278137380471,0.20500000000000002,0.006127813738047078,1.2255627476094155,201
nstxuE205052A01t022/N1/egn01w.1349E+02,high,0.2161526223994569,0.21,0.0061526223994569085,1.2305244798913817,201
nstxuE205052A01t022/N1/egn01w.1367E+02,high,0.22118198056722996,0.215,0.006181980567229961,1.2363961134459922,201
nstxuE205052A01t022/N1/egn01w.1387E+02,high,0.226214283868822,0.22,0.0062142838688220015,1.2428567737644003,201
nstxuE205052A01t022/N1/egn01w.1407E+02,high,0.23124613118842138,0.225,0.006246131188421378,1.2492262376842755,201
nstxuE205052A01t022/N1/egn01w.1427E+02,high,0.23628378350144488,0.23,0.006283783501444873,1.2567567002889746,201
nstxuE205052A01t022/N1/egn01w.1448E+02,high,0.24132963063699703,0.23500000000000001,0.0063296306369970134,1.2659261273994027,201
nstxuE205052A01t022/N1/egn01w.1470E+02,high,0.2463993206056894,0.24,0.006399320605689401,1.2798641211378803,201
nstxuE205052A01t022/N1/egn01w.1492E+02,high,0.2515633426681117,0.245,0.006563342668111705,1.312668533622341,201
nstxuE205052A01t022/N1/egn01w.1625E+02,high,0.28024000574099034,0.27,0.010240005740990321,2.0480011481980642,201
nstxuE205052A01t022/N1/egn01w.1652E+02,high,0.28562505002921484,0.28,0.0056250500292148176,1.1250100058429635,201
nstxuE205052A01t022/N1/egn01w.1677E+02,high,0.2908562197476064,0.28500000000000003,0.0058562197476063615,1.1712439495212723,201
nstxuE205052A01t022/N1/egn01w.1703E+02,high,0.2960263334757059,0.29,0.006026333475705914,1.2052666951411828,201
nstxuE205052A01t022/N1/egn01w.1729E+02,high,0.3011659925815032,0.295,0.006165992581503188,1.2331985163006376,201
nstxuE205052A01t022/N1/egn01w.1754E+02,high,0.30614539005329117,0.3,0.006145390053291178,1.2290780106582355,201
nstxuE205052A01t022/N1/egn01w.1780E+02,high,0.31129820189062707,0.305,0.006298201890627075,1.259640378125415,201
