issue_id,shot,n,relative_path,issue_type,field,observed_value,sorter_effect,verified_on
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1906E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1907E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1908E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1909E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1911E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1912E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1914E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1916E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1917E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1918E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1920E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1921E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1924E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1925E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1926E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1927E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1928E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1930E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1931E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
