path,mode_key,cohort,training_label,input_fingerprint,current_decision,current_reason,fired_gates,envelope_is_only_rejection,energy_fwhm_grid,ext_dr,ext_df_gap,nr,energy_peak_r,main_spike_fraction,spikes_fraction,spikes_top2_ratio,n_narrow_halfmax_components,energy_effective_length,local_hf_fraction,main_peak_local_hf_fraction,worst_window_peak_r,peak_window_r_start,peak_window_r_end,global_hf_top2_ratio,top2_energy_fraction,candidate_exception,candidate_new_survivor
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N4/egn04w.2459E+02,nstxuG142301U84/N4/egn04w.2459E+02,pilot,,4204d0d203142b8f2562daa617faf0adf7a3d3b28475afd22526632d78dff6c2,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.7437862554344985,0.04000000000000001,0.014865844570233037,201,0.165,0.04067690677535709,0.318192551108451,0.3868239654202543,9,0.32800169634574855,0.15892515934313134,0.034134880849333755,0.085,0.14,0.19,0.050628009919085226,0.8225771398697065,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N4/egn04w.2492E+02,nstxuG142301U84/N4/egn04w.2492E+02,pilot,,0fd0c7422a7c845390dd4f6f86c2a3685eba2ac528ce3a86cbdb12b59fecf84a,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.0706233626925492,0.065,0.03079301098054851,201,0.1,0.04503826810514371,0.07423385222804114,0.09099583820248355,3,0.27930368052180543,0.250757038422988,0.2085622433566021,0.085,0.075,0.125,0.04761406472517617,0.8157939274415638,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N4/egn04w.2513E+02,nstxuG142301U84/N4/egn04w.2513E+02,pilot,,11983dae216993283539668338c80c5cf4131261889b961c13a9170da2fcaec1,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.115126070127223,0.05,0.034711759295188056,201,0.085,0.025687238667804365,0.10000868059845931,0.1278493422260842,3,0.3341834995826784,0.12817039409690797,0.12817039409690797,0.085,0.06,0.11,0.021346046158515423,0.7822385227575714,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N6/egn06w.2496E+02,nstxuG142301U84/N6/egn06w.2496E+02,pilot,,16f38c93159a201c38c98bf9f511f326775a0c856810e8264b95fd569fce5333,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.265091255865014,0.065,0.020900207398368634,201,0.135,0.02853320107396083,0.18392922799219927,0.23964141102596137,7,0.3108861662631979,0.16571913911056585,0.06992484156458059,0.085,0.11,0.16,0.04183803794304355,0.7675185486713456,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N6/egn06w.2533E+02,nstxuG142301U84/N6/egn06w.2533E+02,pilot,,7940f15caff66dccd65eb95c91baa000157553d006c247d2358e50b9ef385ebe,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.0636700492792555,0.02500000000000001,0.02383291213417266,201,0.085,0.03479757380327819,0.18358569468599698,0.23604534838252278,8,0.2814060610366922,0.19172817427745925,0.19172817427745925,0.085,0.06,0.11,0.03622736311991013,0.7777560368971457,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N6/egn06w.2554E+02,nstxuG142301U84/N6/egn06w.2554E+02,pilot,,367ecbcb850f92aba51ca9e1f61c9df4f1072a042e8248c89770c0ec4a97fc4a,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.1352016792804953,0.02500000000000001,0.02776825544352871,201,0.085,0.026115527885849112,0.026115527885849112,0.03421076695530397,1,0.3084470916800541,0.11464537330944286,0.11464537330944286,0.085,0.06,0.11,0.01935397027007238,0.7633715993555126,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N7/egn07w.1741E+02,nstxuG142301U84/N7/egn07w.1741E+02,pilot,,c07b4275e8919bd38aa2064b0016937bcfba6a10f97aac2c3b8a518cefda898f,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.0769934908541168,0.035,-0.13107305588748366,201,0.065,0.6894224752645303,0.6894224752645303,0.7404719537578749,1,0.0067718738057189415,0.252892588609608,0.252892588609608,0.065,0.04,0.09,0.2735485331142449,0.9310581876406393,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N8/egn08w.2529E+02,nstxuG142301U84/N8/egn08w.2529E+02,pilot,,e97b801f802f604af62f0376ab845f913ae891993cec4a2e116959c40b7cc603,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.276580836090263,0.04500000000000001,0.024225032513503043,201,0.155,0.035397010926617636,0.2975119383262701,0.41787049855985214,11,0.29782032269398323,0.11342901258140412,0.0710859433749686,0.09,0.13,0.18,0.04547810794470396,0.7119716260219722,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N8/egn08w.2580E+02,nstxuG142301U84/N8/egn08w.2580E+02,pilot,,19168210826c73d3843c2cf9dd58fe4d5c84c068fd2b499acf5d6522d3711029,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.5387337235718335,0.04000000000000001,0.024971472477924667,201,0.115,0.04345258800442149,0.19485749299911667,0.266971231869899,6,0.2804936472563383,0.07885034184704716,0.047211759746487524,0.09,0.09,0.14,0.020769689400043537,0.7298819862886015,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301V21/N10/egn10w.1605E+02,nstxuG142301V21/N10/egn10w.1605E+02,pilot,,8dcf6d8cb6363a9a1bebbe00439b30bb11e2895ce37751af20bfdcafb9f2b205,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.3190852264169466,0.045,-0.15364158659044916,201,0.065,0.662609157241411,0.662609157241411,0.6664411212833978,1,0.009938575388578027,0.05855402671976705,0.05855402671976705,0.065,0.04,0.09,0.058929398783249036,0.9942501086448456,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301V21/N5/egn05w.1945E+02,nstxuG142301V21/N5/egn05w.1945E+02,pilot,,cd45ab833f5d4663ab77cfc2bf48aa17d06c16a3a104b27a50ee4794d7fa8a51,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.2599340080813148,0.0,0.0008539474644497221,201,0.15,0.32894587568779227,0.32894587568779227,0.3519174836418791,1,0.03343600320095352,0.14478060024782025,0.14478060024782025,0.15,0.125,0.17500000000000002,0.12114276328802859,0.9347244481394867,False,False
/p/hym/ebelova/NOVA/data_mixed/nstxuG142301H47/N7/egn07w.2530E+02,nstxuG142301H47/N7/egn07w.2530E+02,training,good,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.2325276030074994,0.0050000000000000044,6.176140572142723e-05,201,0.08,0.3630728837712497,0.457821231719925,0.5224917664355851,2,0.021599717866031903,0.10573628364730388,0.10573628364730388,0.08,0.055,0.105,0.11518484938383267,0.8762266912704872,False,False
/p/hym/ebelova/NOVA/data_mixed/nstxuG142301Y93/N3/egn03w.8350E+01,nstxuG142301Y93/N3/egn03w.8350E+01,training,bad,ca23db9bc5c287025d3f4f3d7c09a1dc3440c0eac21ed5b1b5a6d34355581cd1,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD_NEAR_AXIS_GRID_OSCILLATION;BAD_INTERIOR_UNRESOLVED_ENVELOPE;BAD_INTERIOR_HARMONIC_INCOHERENCE;BAD_CONTINUUM_CROSSING_TAIL,False,1.4282963667113444,0.07,-0.3413571570559747,201,0.055,0.5913149164741591,0.5913149164741591,0.7416068657605625,1,0.013509170096672574,0.20022434084348262,0.20022434084348262,0.055,0.03,0.08,0.25767574703891377,0.7973428291655986,False,False
/p/hym/ebelova/NOVA/data_mixed/nstxuG142301Y93/N8/egn08w.9431E+01,nstxuG142301Y93/N8/egn08w.9431E+01,training,bad,f0f8e7ee9f01c3ee1fffa7d972476adb4cf292c5802cb86d91fa89f9939f03cf,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.0867308174421997,0.015,-0.13750443679261534,201,0.06,0.6744817085721662,0.6744817085721662,0.7544150322097964,1,0.0071480636828423075,0.21915593985739507,0.21915593985739507,0.06,0.035,0.085,0.24521955935451376,0.894045955840125,False,False
