path,shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,rule_margin,nearest_gate,rules_selected_final,rf_cnn_selected_final
nstxuE203981A01t025/N9/egn09w.8250E+01,nstxuE203981A01t025,nstxuE203981A01t025/N9/egn09w.8250E+01,c6be24c3fdb1d2846b85d0aab86552b109900488f76ba67ae8be6804e6595cc0,BAD,BAD_AXIS_SPIKE,GOOD,0.99,8.920018457739214e-21,flagged_rf_only_good,1.6264543065323773,-0.6264543065323773,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N9/egn09w.9278E+01,nstxuE203981A01t025,nstxuE203981A01t025/N9/egn09w.9278E+01,88872b728a60b10ef2e324d544a58605f9c19f3e4b00e73e8a587f145408150f,BAD,BAD_AXIS_SPIKE,GOOD,0.7733333333333333,1.0971881891919111e-07,flagged_rf_only_good,1.6815267585683,-0.6815267585683,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N9/egn09w.2070E+02,nstxuE203981A01t025,nstxuE203981A01t025/N9/egn09w.2070E+02,e6be299a96e5293f6d33134bcbf96d4508f136b149b6c9d6d72fe3bae1906844,BAD,BAD_CONTINUUM_CROSSING_TAIL,GOOD,0.8166666666666667,0.9999963045120239,gold_good,1.0240744252540939,-0.024074425254093867,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE203981A01t025/N10/egn10w.7641E+01,nstxuE203981A01t025,nstxuE203981A01t025/N10/egn10w.7641E+01,611130c20be606b5e38280834038423e13eafd861c4c76676af860a40503668a,BAD,BAD_AXIS_SPIKE,GOOD,0.9433333333333334,0.0,flagged_rf_only_good,4.204151044744645,-3.204151044744645,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N10/egn10w.2212E+02,nstxuE203981A01t025,nstxuE203981A01t025/N10/egn10w.2212E+02,9235d01b1620d652822c28f967654725ba157ecc07abfe2d802bfc8f1bae1729,BAD,BAD_CONTINUUM_CROSSING_TAIL,GOOD,0.76,0.9999998807907104,gold_good,1.2958945201866527,-0.29589452018665274,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE204955F02t017/N6/egn06w.5072E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.5072E+01,176dc251046667b909c781ce1e33de8203965c07ab2638be6d35b04056f3ddec,BAD,BAD_AXIS_SPIKE,GOOD,0.8966666666666666,6.267955374412786e-28,flagged_rf_only_good,1.9063464806752495,-0.9063464806752495,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE204955F02t017/N6/egn06w.5363E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.5363E+01,4f3acc442e5ec940b92bcef36c48e28b3261d3a988fc5b87009ac84418cfea76,BAD,BAD_AXIS_SPIKE,GOOD,0.9566666666666667,1.2468866366460322e-30,flagged_rf_only_good,1.8907157843913158,-0.8907157843913158,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE204955F02t017/N6/egn06w.6529E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.6529E+01,d4e139940e2af728de03e7fbad7674a8da2297245431efca66501d520cc63e37,BAD,BAD_AXIS_SPIKE,GOOD,0.95,1.1463339416820162e-17,flagged_rf_only_good,1.9621068367191346,-0.9621068367191346,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE204955F02t017/N6/egn06w.7141E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.7141E+01,ab45b97424e8941745b8c0adfade799ef410e6391939ee294c29774100373b4e,BAD,BAD_AXIS_SPIKE,GOOD,0.8566666666666667,0.0,flagged_rf_only_good,2.3030100982439263,-1.3030100982439263,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE204955F02t017/N6/egn06w.7591E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.7591E+01,904fb062b09528a44ccb886b714f83d7bdd4dc60661a71d3e67b6d121f7fe1ab,BAD,BAD_AXIS_SPIKE,GOOD,0.75,3.175639424922276e-32,flagged_rf_only_good,1.8093841000140043,-0.8093841000140043,BAD_AXIS_SPIKE,,True
