shot,reason
nstxuE204944A01t027,E_discharge_already_training_or_checked
nstxuE204944A01t035,E_discharge_already_training_or_checked
nstxuE204954A01t017,E_discharge_already_training_or_checked
nstxuE204954A01t022,training_checked_or_other_status
nstxuE204955F02t020,N1_review_or_insufficient_evidence
nstxuE204955F02t023,N1_or_N2_raw_log_coverage_or_offset
nstxuE204957F05t017,N1_review_or_insufficient_evidence
nstxuE204957F05t020,N1_review_or_insufficient_evidence
nstxuE204957F05t027,N1_review_or_insufficient_evidence
nstxuE205016A01t017,N1_or_N2_raw_log_coverage_or_offset
nstxuE205016A01t020,N1_review_or_insufficient_evidence
nstxuE205016A01t025,N1_or_N2_raw_log_coverage_or_offset
nstxuE205016A01t032,N1_or_N2_raw_log_coverage_or_offset
nstxuE205017A01t017,E_discharge_already_training_or_checked
nstxuE205017A01t020,E_discharge_already_training_or_checked
nstxuE205017A01t025,training_checked_or_other_status
nstxuE205017A01t030,E_discharge_already_training_or_checked
nstxuE205034A01t017,N1_or_N2_raw_log_coverage_or_offset
nstxuE205034A01t020,N1_or_N2_raw_log_coverage_or_offset
nstxuE205034A01t023,N1_or_N2_raw_log_coverage_or_offset
nstxuE205035A01t017,E_discharge_already_training_or_checked
nstxuE205035A01t020,training_checked_or_other_status
nstxuE205035A01t025,E_discharge_already_training_or_checked
nstxuE205035A01t030,E_discharge_already_training_or_checked
nstxuE205040A01t016,training_checked_or_other_status
nstxuE205040A01t018,E_discharge_already_training_or_checked
nstxuE205040A01t020,E_discharge_already_training_or_checked
nstxuE205040A01t022,E_discharge_already_training_or_checked
nstxuE205042A01t017,N1_or_N2_raw_log_coverage_or_offset
nstxuE205042A01t025,N1_review_or_insufficient_evidence
nstxuE205045A01t017,E_discharge_already_training_or_checked
nstxuE205045A01t022,training_checked_or_other_status
nstxuE205045A01t027,E_discharge_already_training_or_checked
nstxuE205045A01t035,E_discharge_already_training_or_checked
nstxuE205052A01t017,E_discharge_already_training_or_checked
nstxuE205052A01t022,training_checked_or_other_status
nstxuE205052A01t027,E_discharge_already_training_or_checked
nstxuE205052A01t035,E_discharge_already_training_or_checked
nstxuE205054A01t017,E_discharge_already_training_or_checked
nstxuE205054A01t020,E_discharge_already_training_or_checked
nstxuE205054A01t027,E_discharge_already_training_or_checked
nstxuE205054A01t037,training_checked_or_other_status
nstxuE205055A01t017,N1_review_or_insufficient_evidence
nstxuE205055A01t037,N1_or_N2_raw_log_coverage_or_offset
nstxuE205057A01t017,E_discharge_already_training_or_checked
nstxuE205057A01t020,training_checked_or_other_status
nstxuE205057A01t025,E_discharge_already_training_or_checked
nstxuE205057A01t030,E_discharge_already_training_or_checked
nstxuE205059A01t017,E_discharge_has_priority_N1_case
nstxuE205059A01t020,E_discharge_has_priority_N1_case
nstxuE205059A01t025,E_discharge_has_priority_N1_case
nstxuE205059A01t030,E_discharge_has_priority_N1_case
nstxuE205072A02t017,N1_review_or_insufficient_evidence
nstxuE205072A02t020,N1_or_N2_raw_log_coverage_or_offset
nstxuE205072A02t027,N1_or_N2_raw_log_coverage_or_offset
nstxuG121123B12,training_checked_or_other_status
nstxuG121123J38,training_checked_or_other_status
nstxuG121123K34,training_checked_or_other_status
nstxuG121123K51,training_checked_or_other_status
nstxuG121123K70,training_checked_or_other_status
nstxuG121123N22,N1_review_or_insufficient_evidence
nstxuG121123N75,N1_review_or_insufficient_evidence
nstxuG121123N80,training_checked_or_other_status
nstxuG121123Q62,training_checked_or_other_status
nstxuG121123R42,N1_review_or_insufficient_evidence
nstxuG133964R06,training_checked_or_other_status
nstxuG133964R48,N1_review_or_insufficient_evidence
nstxuG133964S31,training_checked_or_other_status
nstxuG133964U27,N1_review_or_insufficient_evidence
nstxuG133964U37,N1_review_or_insufficient_evidence
nstxuG142301B37,N1_review_or_insufficient_evidence
nstxuG142301B85,N1_review_or_insufficient_evidence
nstxuG142301C50,training_checked_or_other_status
nstxuG142301D46,training_checked_or_other_status
nstxuG142301E34,N1_review_or_insufficient_evidence
nstxuG142301E55,N1_review_or_insufficient_evidence
nstxuG142301E72,training_checked_or_other_status
nstxuG142301E77,N1_review_or_insufficient_evidence
nstxuG142301F62,N1_review_or_insufficient_evidence
nstxuG142301F66,N1_review_or_insufficient_evidence
nstxuG142301F83,N1_review_or_insufficient_evidence
nstxuG142301H47,training_checked_or_other_status
nstxuG142301H56,training_checked_or_other_status
nstxuG142301K79,N1_review_or_insufficient_evidence
nstxuG142301L89,N1_review_or_insufficient_evidence
nstxuG142301L94,training_checked_or_other_status
nstxuG142301M21,training_checked_or_other_status
nstxuG142301M32,N1_review_or_insufficient_evidence
nstxuG142301Q91,N1_review_or_insufficient_evidence
nstxuG142301S39,N1_review_or_insufficient_evidence
nstxuG142301S94,N1_review_or_insufficient_evidence
nstxuG142301U84,training_checked_or_other_status
nstxuG142301U85,N1_review_or_insufficient_evidence
nstxuG142301V21,training_checked_or_other_status
nstxuG142301W29,training_checked_or_other_status
nstxuG142301Y93,training_checked_or_other_status
nstxu_202806,training_checked_or_other_status
nstxu_204202,training_checked_or_other_status
