path,boundary,crossing_r,singularity_r,offset_r,offset_grid,in_interior
nstxuG142301U84/N1/egn01w.2794E+02,high,0.624656838591731,0.615,0.009656838591731054,1.9313677183462108,True
nstxuG142301U84/N1/egn01w.2818E+02,high,0.06848284684125706,0.11,-0.04151715315874294,-8.303430631748586,True
nstxuG142301U84/N1/egn01w.2818E+02,high,0.6226842782838787,0.615,0.007684278283878743,1.5368556567757485,True
nstxuG142301U84/N1/egn01w.2835E+02,high,0.07111745883787696,0.115,-0.04388254116212305,-8.776508232424609,True
nstxuG142301U84/N1/egn01w.2835E+02,high,0.6211824128793582,0.61,0.011182412879358172,2.2364825758716345,True
nstxuG142301U84/N1/egn01w.2841E+02,high,0.07191571155653875,0.115,-0.04308428844346125,-8.616857688692251,True
nstxuG142301U84/N1/egn01w.2841E+02,high,0.6207230495199951,0.61,0.010723049519995143,2.1446099039990285,True
nstxuG142301U84/N1/egn01w.2849E+02,high,0.07308052434714762,0.12,-0.04691947565285237,-9.383895130570474,True
nstxuG142301U84/N1/egn01w.2849E+02,high,0.6200527451113612,0.61,0.010052745111361228,2.0105490222722455,True
nstxuG142301U84/N1/egn01w.2864E+02,high,0.07532857947285344,0.12,-0.04467142052714655,-8.93428410542931,True
nstxuG142301U84/N1/egn01w.2864E+02,high,0.6186498844115753,0.605,0.01364988441157533,2.729976882315066,True
nstxuG142301U84/N1/egn01w.2887E+02,high,0.07879147411438639,0.125,-0.04620852588561361,-9.241705177122721,True
nstxuG142301U84/N1/egn01w.2887E+02,high,0.6165085013656965,0.605,0.011508501365696477,2.3017002731392955,True
nstxuG142301U84/N1/egn01w.2910E+02,high,0.08234677645272015,0.13,-0.047653223547279855,-9.53064470945597,True
nstxuG142301U84/N1/egn01w.2910E+02,high,0.6143060481760518,0.6,0.014306048176051855,2.861209635210371,True
nstxuG142301U84/N1/egn01w.3079E+02,high,0.1138019360637101,0.17,-0.05619806393628991,-11.239612787257983,True
nstxuG142301U84/N1/egn01w.3079E+02,high,0.5931498215576587,0.5700000000000001,0.023149821557658656,4.629964311531731,True
nstxuG142301U84/N1/egn01w.3274E+02,high,0.1555536594269425,0.21,-0.0544463405730575,-10.8892681146115,True
nstxuG142301U84/N1/egn01w.3274E+02,high,0.5645188909190244,0.54,0.024518890919024372,4.903778183804874,True
