shot,decision,n_modes,n_complete,minimum,median,maximum,n_margin_0_to_0p1,nearest_gate_counts_json
nstxuE204954A01t022,GOOD,27,27,0.16458552916289249,0.5285347670721434,0.8271044019797352,0,"{""BAD_AXIS_SPIKE"": 4, ""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 22}"
nstxuE205017A01t025,BAD,159,159,1.2177445203454242,9.595395502270323,20.0,0,"{""BAD_AXIS_SPIKE"": 12, ""BAD_CONTINUUM_CROSSING_TAIL"": 10, ""BAD_CONT_CROSS_WINDOW"": 112, ""BAD_GRID_SCALE_PACKET"": 2, ""BAD_GRID_SCALE_SPIKE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 5, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 15}"
nstxuE205017A01t025,GOOD,60,60,0.18947942358110836,0.4837172710775953,0.9550582200876911,2,"{""BAD_AXIS_SPIKE"": 2, ""BAD_GRID_SCALE_SPIKE"": 37, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 19, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 2}"
nstxuE205035A01t020,BAD,45,45,2.238513654756802,5.871433854339261,20.0,0,"{""BAD_AXIS_SPIKE"": 11, ""BAD_CONTINUUM_CROSSING_TAIL"": 3, ""BAD_CONT_CROSS_WINDOW"": 9, ""BAD_GRID_SCALE_PACKET"": 3, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 19}"
nstxuE205035A01t020,GOOD,7,7,0.08836339221797675,0.23184228130942752,0.9306153898276777,1,"{""BAD_GRID_SCALE_SPIKE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 2}"
nstxuE205040A01t016,BAD,57,57,1.046561538156202,4.771139169847527,17.62586867192118,0,"{""BAD_AXIS_SPIKE"": 3, ""BAD_CONTINUUM_CROSSING_TAIL"": 3, ""BAD_CONT_CROSS_WINDOW"": 40, ""BAD_GRID_SCALE_PACKET"": 1, ""BAD_GRID_SCALE_SPIKE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 4, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 3}"
nstxuE205040A01t016,GOOD,90,90,0.2514659654612853,0.5643571715287901,0.9820326696603108,3,"{""BAD_CONTINUUM_CROSSING_TAIL"": 2, ""BAD_CONT_CROSS_WINDOW"": 5, ""BAD_GRID_SCALE_SPIKE"": 83}"
nstxuE205045A01t022,BAD,281,281,1.0271644455920366,9.741524442658672,23.883313914986363,0,"{""BAD_AXIS_SPIKE"": 6, ""BAD_CONTINUUM_CROSSING_TAIL"": 31, ""BAD_CONT_CROSS_WINDOW"": 229, ""BAD_GRID_SCALE_PACKET"": 1, ""BAD_GRID_SCALE_SPIKE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 12}"
nstxuE205045A01t022,GOOD,22,22,0.2982749053152311,0.530930435201844,0.8689123382932439,0,"{""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_GRID_SCALE_SPIKE"": 19, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuE205054A01t037,BAD,184,184,1.2469140459613886,7.459263341379041,20.0,0,"{""BAD_AXIS_ENERGY_CONCENTRATION"": 1, ""BAD_AXIS_SPIKE"": 32, ""BAD_CONTINUUM_CROSSING_TAIL"": 4, ""BAD_CONT_CROSS_WINDOW"": 116, ""BAD_GRID_SCALE_PACKET"": 3, ""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 10, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 17}"
nstxuE205054A01t037,GOOD,33,33,0.31851422298282106,0.4985963479410612,0.9909509163774904,1,"{""BAD_AXIS_SPIKE"": 1, ""BAD_GRID_SCALE_SPIKE"": 31, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuE205057A01t020,BAD,189,189,1.1236176674698928,6.816959718887548,20.0,0,"{""BAD_AXIS_SPIKE"": 30, ""BAD_CONTINUUM_CROSSING_TAIL"": 18, ""BAD_CONT_CROSS_WINDOW"": 127, ""BAD_GRID_SCALE_SPIKE"": 4, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 10}"
nstxuE205057A01t020,GOOD,39,39,0.4490489465345397,0.552055692920911,0.9089616084893234,1,"{""BAD_AXIS_SPIKE"": 1, ""BAD_CONTINUUM_CROSSING_TAIL"": 2, ""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 34, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuG121123K34,BAD,159,159,1.2846742505220434,8.28575879236737,20.0,0,"{""BAD_AXIS_SPIKE"": 14, ""BAD_CONTINUUM_CROSSING_TAIL"": 14, ""BAD_CONT_CROSS_WINDOW"": 90, ""BAD_GRID_SCALE_PACKET"": 8, ""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 28}"
nstxuG121123K34,GOOD,1,1,0.7299328514967707,0.7299328514967707,0.7299328514967707,0,"{""BAD_GRID_SCALE_PACKET"": 1}"
nstxuG121123K70,BAD,80,80,1.0369433233984862,6.886779246602893,20.0,0,"{""BAD_AXIS_SPIKE"": 20, ""BAD_CONTINUUM_CROSSING_TAIL"": 2, ""BAD_CONT_CROSS_WINDOW"": 44, ""BAD_GRID_SCALE_PACKET"": 6, ""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 6}"
nstxuG121123K70,GOOD,7,7,0.3551219626508013,0.5924621018177948,0.9393453878830317,1,"{""BAD_AXIS_SPIKE"": 2, ""BAD_GRID_SCALE_SPIKE"": 5}"
nstxuG121123N80,BAD,151,151,1.1421614416638268,7.089652040840591,20.0,0,"{""BAD_AXIS_SPIKE"": 24, ""BAD_CONTINUUM_CROSSING_TAIL"": 3, ""BAD_CONT_CROSS_WINDOW"": 100, ""BAD_GRID_SCALE_PACKET"": 6, ""BAD_GRID_SCALE_SPIKE"": 2, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 14}"
