shot,n,usable,suitable,median_relative_width,edge_monotonicity,lower_max_count,upper_min_count,extrema_pairs,upper_outer_change_rel,inner_center_frequency,shape_rmse_to_K51_same_n,raw_mode_count,error
nstxuG142301K79,6,True,False,0.1945076359503042,0.4008981954635703,2,2,2,-0.5239795206383415,7.573721144790973,0.09356160147909143,67,
nstxuG142301K79,7,True,True,0.32539880779755714,0.19707969467166553,2,2,2,-0.5317196846701351,7.578367530291476,0.0777016005751793,103,
nstxuG142301K79,8,True,False,0.24651406122357747,0.2666235880486562,3,3,3,-0.5310326385588302,7.568754676139292,0.1010033403424326,62,
nstxuG142301K79,9,True,True,0.3161828088492839,0.1826509727130518,3,3,3,-0.5307384085616,7.570084552156526,0.0796731084188241,85,
nstxuG142301K79,10,True,True,0.27112302370530394,0.12124771855467995,4,4,4,-0.49214008667601394,7.568635321779961,0.08810554944385161,60,
nstxuG142301L89,6,True,True,0.3246108334821548,0.41523678294490823,2,2,2,-0.38824473651182634,5.086078468360528,0.06315515805306363,129,
nstxuG142301L89,7,True,True,0.3129889438870329,0.3238861605867002,3,3,3,-0.38763583228125476,5.099154263628713,0.06938018737992553,130,
nstxuG142301L89,8,True,True,0.32761779935858437,0.2617755739936728,3,2,2,-0.3894848667582738,5.071919638212632,0.06287926585856955,130,
nstxuG142301L89,9,True,True,0.3250322197396916,0.4015944120194638,3,2,2,-0.38954913950957254,5.073421215939295,0.07068831239917413,121,
nstxuG142301L89,10,True,True,0.30986719869548435,0.20184175753705413,3,3,3,-0.39031106487749045,5.099542287995304,0.06438280713201734,149,
nstxuG142301L94,6,True,True,0.3414470245241928,0.3893003274738575,3,2,2,-0.36702537923130035,4.734125680699593,0.07006244342788696,113,
nstxuG142301L94,7,True,True,0.35758994749834677,0.3005681407506458,2,2,2,-0.3678668120329852,4.719514209427709,0.05235670909073499,113,
nstxuG142301L94,8,True,True,0.337494989273111,0.23901941512748082,3,3,3,-0.36428675685007805,4.727066650866598,0.048473850435450716,124,
nstxuG142301L94,9,True,True,0.346031584749181,0.3756556779352077,3,3,3,-0.3664494250284398,4.724712932870246,0.04198022292666179,133,
nstxuG142301L94,10,True,True,0.35141281222601795,0.22641065738974714,3,3,3,-0.36685682762339444,4.720895000138372,0.050152127243915615,134,
nstxuG142301M21,6,True,True,0.5006684207910961,0.31450553711841056,2,2,2,-0.5679241144103192,9.32064763807936,0.0890035883754785,86,
nstxuG142301M21,7,True,True,0.5742770596119133,0.28365623259266365,2,2,2,-0.5480364704969573,9.330848999948952,0.11687325151656668,72,
nstxuG142301M21,8,True,True,0.49447872333193754,0.29570773895973695,2,2,2,-0.5586154397072495,9.36353026943662,0.11129260081765402,44,
nstxuG142301M21,9,True,True,0.46365922543753396,0.21022053247121184,3,3,3,-0.5660621140209385,9.311792642516583,0.08321868667916255,118,
nstxuG142301M21,10,True,True,0.5717582847128021,0.20987542105328438,3,2,2,-0.5649203630188921,9.275785069526476,0.11682478172022054,122,
nstxuG142301M32,6,True,False,0.1898252133531998,0.5080623676325815,1,0,0,-0.5170261738949173,5.256910905947062,0.10504632173640797,86,
nstxuG142301M32,7,True,False,0.1805369040079438,0.43027041648171116,1,1,1,-0.5156792465261062,5.257106886316031,0.12018426719911238,70,
nstxuG142301M32,8,True,True,0.2503062534483929,0.41339894691281587,2,1,1,-0.5163462793416304,5.265254023121518,0.10742154602653574,100,
nstxuG142301M32,9,True,True,0.2678048579856468,0.40447590377504417,2,2,2,-0.5165284646133994,5.268038384488387,0.0965079948599039,117,
nstxuG142301M32,10,True,False,0.20812555484779638,0.40916688025726083,3,2,2,-0.5150886392918262,5.262403020912892,0.10605539002819467,120,
nstxuG142301Q91,6,True,False,0.20214674283321743,0.5209405766088693,2,1,1,-0.6442363762295178,7.060670455034357,0.08854672651280054,0,
nstxuG142301Q91,7,True,True,0.2969207640714114,0.14842871796150295,2,2,2,-0.6440897249057169,7.058178637426593,0.07447431950529466,56,
nstxuG142301Q91,8,True,True,0.34813697422043544,0.13507626562922184,3,2,2,-0.6022795806103931,7.050799251555048,0.07674769680330407,72,
nstxuG142301Q91,9,True,True,0.3532764606785186,0.29972408041639886,2,2,2,-0.5704440310788805,7.041955417832424,0.07125239675746398,62,
nstxuG142301Q91,10,True,False,0.2480344616208707,0.2734868730780743,4,4,4,-0.5649512744352517,7.039522908544127,0.09025691063257162,155,
nstxuG142301S39,6,True,False,0.32585531578324217,0.9475716185961969,0,0,0,-0.41316753565547104,4.168654431358167,0.06650795690744761,0,
nstxuG142301S39,7,True,False,0.4075669225600495,0.9469818282457273,0,1,0,-0.40884043932554076,4.171203925842292,0.06555592711005286,115,
nstxuG142301S39,8,True,False,0.36808924256007036,0.9962935270387641,0,0,0,-0.4121199375162178,4.16224492714571,0.052912519799674776,136,
nstxuG142301S39,9,True,False,0.2958064974414026,0.7177258098275127,0,1,0,-0.4079155816660002,4.162571591973985,0.05450762396092031,123,
nstxuG142301S39,10,True,False,0.36624991692480524,0.9017408607910234,0,1,0,-0.4069066674849775,4.162767587688151,0.06488601964864668,96,
nstxuG142301S94,6,True,False,0.39637341509739366,0.7908951204341395,0,1,0,-0.4298878014739034,4.2799764275867584,0.058245905325955645,128,
nstxuG142301S94,7,True,False,0.3594323603905187,0.5159112609201996,1,1,1,-0.4309534668656804,4.265322260148598,0.047771016608724834,135,
nstxuG142301S94,8,True,False,0.3598677369300988,0.5143314379394935,2,1,1,-0.43105765429544085,4.277744051455668,0.05584483224118803,136,
