shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE203963A01t025,nstxuE203963A01t025/N9/egn09w.8470E+01,e6dea7de0665a8f6a1f0c327d337fb434467d6ce29ed5363112c22f1759c39aa,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N10/egn10w.1077E+02,7edb050c2b0f740e09fb9282d6f2ffb82da87009d6489b2d2249549e24d88ab4,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N1/egn01w.1470E+02,b171c1f896857aeaeba5cadba07b1f3e0e39dd41c65ab7383e41b0aa1d0f8159,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N1/egn01w.1509E+02,8a125fe7c15dabcf05cf0bf0662a8dd6cf784e5c3681c5750108daf3c4dce234,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N3/egn03w.1308E+02,67415819ef04f01914b28cad1c3937d56ea68e284ab5eef5cfe32df17d839f2f,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N3/egn03w.1326E+02,73fb1dacebb8ec83216eada8cb47f92543a234b27aa8a80c5bfc25512c2d8e2e,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N5/egn05w.1090E+02,b360f165f0c1c956dc0dad1394fa1465b1d5558ff019f5e6226e5828ddfc1180,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N5/egn05w.1099E+02,611265c77c5583c0328ca5d7ce003d1cdea1813d38fe18f9d2e9e1e47ef8f8c6,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N5/egn05w.1136E+02,96b366eba86229197d2dd5d0242be23b5f53d89329ff626f7b4a610a743aafef,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N5/egn05w.1201E+02,0a6fb68e0c1dd6abe0726a8e57610ea57316afd1ab42982b17271f69ec09a54b,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N6/egn06w.1157E+02,902c520b7715adbed2ba64cace7f4988dd4f97823d177517c9fc596bc8962208,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N7/egn07w.1391E+02,2a0501b937fe9e7887d300baa9f49c6d31db8c97a70eca9df626fc0763b38da8,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N7/egn07w.1395E+02,a9e79b6a00d3288d098293e7702969f2d70cc913e98187fe476afd013c0bc8ef,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N8/egn08w.2608E+02,ce7341a29e6e528f6f087d3567d238b1d822f408ffa740de2ead7d84147cf6e2,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N10/egn10w.2762E+02,26a81e2eef29e7ca0af0805cc1a86012f2a91990429dbe6b5a64a4b4d95c42c7,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE204707A04t030,nstxuE204707A04t030/N10/egn10w.3524E+02,44c49b90ea62accdf6703993c4cbebb0069b1e0660e077858afcf0fafff2b1ae,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE204954A01t022,nstxuE204954A01t022/N2/egn02w.7512E+01,aa49c543a9849757d3caee0eef44e6cda2039d1a56e83f583f1d781244f94665,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE204954A01t022,nstxuE204954A01t022/N10/egn10w.1050E+02,f99c2ec8e2a6f0a9ae626ff300dabfbfa4f11314ed24825cb24e5908ed5db6c9,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N4/egn04w.3243E+02,f072098c48caa2cb8e9df3623cef709fe2e73eec9a642e5ee98424ace4077a46,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,GOOD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.2662E+02,8bd689d101a3b0eace28078a37c439c4c59225240da910b93dc098e7c8d3640c,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.2845E+02,76862c87061215fa8f54e7e7b7859edcb47217d441251654f2331e74285234d3,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.2462E+02,225f49d8a47db541cd2bae01145845e139082800ab32461d8c90db8d8bd035e2,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.2732E+02,adaf4da979b38301f2fbb48bf5835581bfc2b74df72b430a806ea97b5c29e07d,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.2606E+02,8f097901b61887e4c45a04a48d4da2ffc0136fdfa5431cd1bbe5a9d673ea1f54,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205054A01t037,nstxuE205054A01t037/N2/egn02w.2132E+02,00a0f71d69aab2b1fe636849c75546049f6577cc431e373bab535df91c38175c,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE205054A01t037,nstxuE205054A01t037/N3/egn03w.1389E+02,f9ed7630e2b088cddba34399032246ff987d1cacefd931b0aeb24b2cbdb886eb,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE205054A01t037,nstxuE205054A01t037/N3/egn03w.2785E+02,a63d49c189363d81346a9c3919f37ef2bf15e8891cd5d23a8886d1b99322fc16,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE205054A01t037,nstxuE205054A01t037/N7/egn07w.2561E+02,7b7d846c61b4811405236738bd10f6ff6a347aad4296d52bf3c491fb4af70027,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE205054A01t037,nstxuE205054A01t037/N8/egn08w.4715E+02,bf5165029aad2eb8bfad5cd8b39334f2cc03e0dd620ad05cb581c3a7de4029d1,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,GOOD,True,
nstxuE205057A01t020,nstxuE205057A01t020/N4/egn04w.8440E+01,9cb0bbbe865443aef3c80f8e3510a765387a0742c5e73cd04309431edef98d42,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
