shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.1660E+02,99ebf65cba8adcac82f0e78ace343248e6905024bb09e8a0ec6b59e9c964ff78,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.1707E+02,eb3aa1779702511aefdd1d65d97e50c8e6de9daddc836c85f471e212bbf71568,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.4932E+02,e0fb9764ac7ae51e81b270773d3f240853a1f7da30d4f01a83c85530e9272519,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N10/egn10w.1022E+02,390a3b07f28e9b8dcf0a30f8042b8329ef784921d239c54b5c7d38499ade2e6e,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N10/egn10w.3150E+02,d6194b4b411ae456ff5ec203f50d5bdeaba42fb5aa95ce63a6c9543b905f1335,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N10/egn10w.3699E+02,d5ecd89dc8d002785640a8e6388f0ab8a28f90c7a0f11cc53237a703a807551f,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N10/egn10w.5337E+02,956f3790ba06338eb9f77f748da4fb824d52dd0ab9b463958bf112059ff6af76,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE205054A01t037,nstxuE205054A01t037/N7/egn07w.2561E+02,7b7d846c61b4811405236738bd10f6ff6a347aad4296d52bf3c491fb4af70027,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE205054A01t037,nstxuE205054A01t037/N8/egn08w.4715E+02,bf5165029aad2eb8bfad5cd8b39334f2cc03e0dd620ad05cb581c3a7de4029d1,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,GOOD,True,
nstxuE205057A01t020,nstxuE205057A01t020/N8/egn08w.8289E+01,841f14af6672d2114f94a6f7dc89fa0a9fc12b66831dc7e7fcab0931dc5eaf83,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205057A01t020,nstxuE205057A01t020/N9/egn09w.5915E+01,7c5da7a571e792b7decf4c82a5002be67fc8130de526ece3ea83fb1b154fd5d5,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205057A01t020,nstxuE205057A01t020/N9/egn09w.6947E+01,75c143d569c055ce724a4643bad517ca7fdb13344691b66dbbbe59fdd160fce6,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuG142301E72,nstxuG142301E72/N6/egn06w.1569E+02,fd78811a771a9495dc5e52fa8d1d104fe75fab0c0d2b7b1eefc97f01f6b4147d,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuG142301E72,nstxuG142301E72/N10/egn10w.1653E+02,fcccefc989d14194f70971a2b85c6ddc5a889aaa32823a8888e78f16af8ec955,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuG142301E72,nstxuG142301E72/N10/egn10w.1682E+02,567df14129480251ce2522fd943bc1a7e50f4fd4a2855242b16a7bfb4c9a74b5,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuG142301H56,nstxuG142301H56/N1/egn01w.2731E+02,e3403582e29815e8f7cb6957c4c472e6795ce868e2ac0dd8feb40004f6b5aaff,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuG142301H56,nstxuG142301H56/N1/egn01w.4477E+02,b771e1672a54058eba659f61049e37adae9d55b5ed06a894b3b813168f66ef5a,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_INTERIOR_HARMONIC_INCOHERENCE,BAD,True,
nstxuG142301H56,nstxuG142301H56/N1/egn01w.4499E+02,b17c35f55639f19783610e0ae6d7670b467434a6631cd55860cdb9d5283a5d33,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_INTERIOR_HARMONIC_INCOHERENCE,BAD,True,
nstxuG142301H56,nstxuG142301H56/N1/egn01w.4649E+02,08cdef235fae35ec1dfb62cfe96ab2dd28570d6b41cc23e09d656da0bba3f30c,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
