shot,n,nr,input_modes,datcon_sha256,changed_last,onset,changed_mean
nstxuE204707A04t030,1,201,81,359645c97401644ee11fa3a392722b58530f3bfc96e94fbdcfd7d2be405d015f,False,,False
nstxuE204707A04t030,2,201,49,b7c9fb10e7b58ae6ae9a302147488d6191c6b8fd3c61074044587d62b2e705fa,False,,False
nstxuE204707A04t030,3,201,111,fabd051d81fd981a5bc7f82cc36854e52a61941f44bfe0cf089e12f615ae6d37,False,,False
nstxuE204707A04t030,4,201,136,f44ab4bd5d9055d0a1bd66d44b0c1c54ae2a9d2a66aeb19acc58b1aff4f47f79,False,,False
nstxuE204707A04t030,5,201,108,9f9474628bad169a45daad51f5b717bf07c3fa56dff7f25e37579d0774b7f7a4,False,,False
nstxuE204707A04t030,6,201,82,6bae212c885fe4c9c9d4cfcd9c7a62bd5df06eea5ee48a6fcb2adcfba327964f,False,,False
nstxuE204707A04t030,7,201,78,b9ed6c1c8dbe0cb5b487691a18652688d07794d5c1d24c643313df4234973ae6,False,,False
nstxuE204707A04t030,8,201,142,dec6c7d217a0c797144b7e4f527abe8077cc959cc4bcda910a348cf093ebea6d,False,,False
nstxuE204707A04t030,9,201,187,229679ded1b48228b260e340e5e6c2e6a13c3256d58f5bc5c8c47d78269239d2,False,,False
nstxuE204707A04t030,10,201,160,4784dd658e6dc85e01d6e790066a1cefaee5b6b129955b4c4aa1032d2dbc8307,True,0.99,False
nstxuE204708F03t017,1,201,13,b80db89dcf4d0cecf0f508ab5ad5b8c5761c82c0bf2e1ff1154ce293a4a47224,False,,False
nstxuE204708F03t017,2,201,34,eb60efb100667491da7e502d18efb03eaf60a2f7852f10a73b5cbf7fbc0b57af,False,,False
nstxuE204708F03t017,3,201,54,12d9a6ff39343d6aa5fc12b8a225e5435f5f9236b254660a802adfb1ecbdc468,False,,False
nstxuE204708F03t017,4,201,55,02f8654e86f596ee59b19cabb337dc3565a2eb5e64facfa0a380adb8d3e2506c,False,,False
nstxuE204708F03t017,5,201,69,8ea20d7fddbb8bce63f13079ac438439d6bb945df4d9d54109a68d7ca8e49171,False,,False
nstxuE204708F03t017,6,201,63,815af46444106750d475b17abc6ae9f2190ccc88e5feb8cd1d1b5d5637ff93e4,False,,False
nstxuE204708F03t017,7,201,66,ae91cfef486b530b981dd17567d452ab624019d7df5839a93cea6cce18728cda,False,,False
nstxuE204708F03t017,8,201,92,06ffc837f83c46eb26f19bcc761fcbb314dd5c463735efd35c2d8ae518911288,True,0.965,True
nstxuE204708F03t017,9,201,97,a6cb5776860f0c713f92181999f7ba34c78fbeb744fa40ba91990ab13f18bdb8,True,0.94,True
nstxuE204708F03t017,10,201,80,16383c5f1546a80f6147c552cd79edafa9d9a39aa01d44e9d24179b5cc4803a6,True,0.92,True
nstxuE204944A01t017,1,201,24,a2f2b9f91fc4dff6a7556fbe988bac27acfd1a66a54017e48d764a5015fee428,False,,False
nstxuE204944A01t017,2,201,14,a422eb5aa47e275fc987a3f33e87f40429ffc7958bb23c65b713be0fca4ca4e0,False,,False
nstxuE204944A01t017,3,201,16,f9be9359261d4f8be388286134dcfeb0aa676c19a7e1e8d505ce6b27bcca025d,False,,False
nstxuE204944A01t017,4,201,27,a96be557eb5e7bca74b51117bfc381465c37cd42c1332157f68a036eafbdabad,False,,False
nstxuE204944A01t017,5,201,47,91f10981ed31d116207dac3438a5de7b961159101c60f78a6a3cc2ffceecc088,False,,False
nstxuE204944A01t017,6,201,79,25f3740cc7742bf04ceab1783a972359cfa7b043295b57d5cc3dad4af9d6dae8,False,,False
nstxuE204944A01t017,7,201,31,7ba63a738e11a2af49831bd368326d1640394975209403fc9f616f0af81aa63c,False,,False
nstxuE204944A01t017,8,201,96,27e25fc7452d918a47222612ce8baaa6ca4d9bf99eb055b27440c95b5bb5fd5a,False,,False
nstxuE204944A01t017,9,201,32,09a9100d35ade4b648f12683fb2ce54dc861116a1def7ea13e308010c6deeda0,True,0.98,True
nstxuE204944A01t017,10,201,22,3185fc6465358331dddc126f11614eaffbb89bcd2436ec7d134ae7b33f0b0268,True,0.96,True
nstxuE204954A01t022,1,201,33,e0933e16cde8e11444cb1fc8fd81bd8164bf4d35f24a21f7cc2fc385c690b728,False,,False
nstxuE204954A01t022,2,201,28,133c1bebd3645c070e52ad26c752c1d1d51d132937b0006e454b8bb3fe45e3f7,False,,False
nstxuE204954A01t022,3,201,40,7b2a4a88f5bc5ce12f545bef80bb2273bba813f2cbd5bf4824d9c4eaec8319ca,False,,False
nstxuE204954A01t022,4,201,37,e74bca825bed62abc2fd8f1b29beb58fe8734a620eb1d4fa7dbfb8afd0da0ea9,False,,False
nstxuE204954A01t022,5,201,41,9072f4f7db10d1b8d32de72f8b89a3b9517924e36cc6e8d3993bba0db3a73ddf,False,,False
nstxuE204954A01t022,6,201,55,8027d17c651bfbcaea4ec86213c99a2dab7681d4752b47ef8cf6982711c78001,False,,False
nstxuE204954A01t022,7,201,45,f01e6704bb7b1439d91d4a3db72bef9303b01b8ca09c99e26b8e8fef1a82c487,False,,False
nstxuE204954A01t022,8,201,46,865548f5bd4faa3c19f29684cc59724636840222fba701aeeda9005fca4a0e38,False,,False
nstxuE204954A01t022,9,201,51,4efbd6464fa45bfdb8d6899b6119d56c44823f117864310222bcfb45a3148f50,False,,False
nstxuE204954A01t022,10,201,127,b12a280fc34b70cc183894e6cd4930a1b2b09229dffe5b358e32828d3c75468f,False,,False
nstxuE205017A01t025,1,201,75,aba65b7f54af69f5b228451fe6f657e94c08c5e1f57bce7d90d3f52566162114,False,,False
nstxuE205017A01t025,2,201,50,d3a3b029312e8d515b4b984815d0cd948fabaa27afb28b48e41a3ec51fc6cebf,False,,False
nstxuE205017A01t025,3,201,44,fda90e437f9a6bd6463e491c0d0bfdc0d836ba1f577ffc4fa60bd96473340d2c,False,,False
nstxuE205017A01t025,4,201,90,9ae992e1d7264557365d4fb6d6448fc82d260c163158e0662edf80da42bd8539,False,,False
nstxuE205017A01t025,5,201,113,88bce70ec1a57d68f8e0dfa4bd2cff4f1f0fddf9cd045906d6d4c982fc4cb543,False,,False
nstxuE205017A01t025,6,201,111,88e293c8122ec518f6dbcc4fbe95dd8a510f0b60b27925c1db438aad1f1f8015,False,,False
nstxuE205017A01t025,7,201,80,242535a6932c7939db44906a4923f073305bdb3f669e089132251f41c6985863,False,,False
nstxuE205017A01t025,8,201,91,ab8af73fa3aab3ac919a932f2254d5c958020b277310a686e060d9881ce68d29,False,,False
nstxuE205017A01t025,9,201,86,f5e607f24fb2d83fd03bcdc04ef81feab95c6fd80253845765d03dddacb8fb07,False,,False
nstxuE205017A01t025,10,201,113,97a2815e2751a598f24d19978d39f65a4d8087875ec2dae503f741b3dd5e140d,False,,False
nstxuE205035A01t020,1,201,13,5209159d2cdae6014785cd024b00b0113f569a1aa33f76459a827009db7d0968,False,,False
nstxuE205035A01t020,2,201,9,991a4fb1282781edf36e9ab1a3bf6e681f2196a586aec80a67570153f01e1b9c,False,,False
nstxuE205035A01t020,3,201,17,809d7d12eb5c7bc4baaddca821b9a514d3181f5089b19066fc90f1d88bd2b4ac,False,,False
nstxuE205035A01t020,4,201,12,f2afa22eb128a8d33eb9b27c24ea0bc919a1ab6eb5719f5190c8a47c20bc7995,False,,False
nstxuE205035A01t020,5,201,29,97011a3238c26a89b0f572e1959abcc6cd86dd1df80a92a34da09c669c86cd31,False,,False
nstxuE205035A01t020,6,201,11,10d53b8dc91ab437785ca262c8665b8a422b4104c52def3319e05e78ed00fe09,False,,False
nstxuE205035A01t020,7,201,17,083424fd573bd450bc0008390581fdd8eb8251055e32589b327cc64799cc5f24,False,,False
nstxuE205035A01t020,8,201,26,0191e56f2de4f59113d660f4ad2f3586b4ad4aaaf152acb42c623a3342f22df6,False,,False
nstxuE205035A01t020,9,201,49,98ce7f3a420786864466d8c8e191f6e27e5f8a0b00a43a57a3d7afb9c4a2bd55,False,,False
nstxuE205035A01t020,10,201,52,0a499c02aba925394124c9f59ead79561fa4d43da77d13ba9960a72e9071cea9,False,,False
nstxuE205040A01t016,1,201,14,5c405a947c74e834bf3ef70ee559729393b9b13ccf95aa3dcbe934e74b4e4396,False,,False
nstxuE205040A01t016,2,201,16,366213528b8848f108c98bd4b1034fa91726504c73cb90e00c0b77d44f2527b8,True,0.96,True
nstxuE205040A01t016,3,201,32,809cfae7a7574f7dcb23e59f828f9ef3329485a11b0aa690ec3a8e9a90d42748,True,0.96,True
nstxuE205040A01t016,4,201,37,060857d4399ce6c2044fc39a2bbf00338fb133d416ea10c4a7fc8a130bab1546,True,0.96,True
nstxuE205040A01t016,5,201,24,f6e4b333f306f24e8fd3ba83257d6a623e9191b90508b8e9440a402edcb2ac50,True,0.96,True
nstxuE205040A01t016,6,201,33,557a0a385c1fb78f935d53d056a1602354cc8d34d362d73a016633722c8489bd,True,0.96,True
