mode_key,shot,n,scenario,input_fingerprint,onset,before_gap_region,before_decision,before_reason,before_signed_delta,before_fraction_below_upper2,after_gap_region,after_decision,after_reason,after_signed_delta,after_fraction_below_upper2
nstxuE204645A16t015/N8/egn08w.5971E+01,nstxuE204645A16t015,8,mean,da8ee201b74dca375b2a3eebaf5600d74b339cd2a9893dd39e1d0f31b042fe3a,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.856309266647462,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9586567374467055,1.0
nstxuE204645A16t015/N8/egn08w.6314E+01,nstxuE204645A16t015,8,last,16f4405e73e19a149bed85cb4d8842e1c24af5440c40f439076e222863859aaa,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7049588822606184,0.9999998460663616,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9489987905058742,0.9999998460663616
nstxuE204645A16t015/N8/egn08w.6314E+01,nstxuE204645A16t015,8,mean,16f4405e73e19a149bed85cb4d8842e1c24af5440c40f439076e222863859aaa,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7049588822606184,0.9999998460663616,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9651899147437385,0.9999998460663616
nstxuE204645A16t015/N8/egn08w.6693E+01,nstxuE204645A16t015,8,last,81a40aea410ffc1a2deb8b3d1f79dd5258b41d6e4931027a11f66cdc44b389e3,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5668666730728416,0.9999973906286629,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8592217561360385,0.9999973906286629
nstxuE204645A16t015/N8/egn08w.6693E+01,nstxuE204645A16t015,8,mean,81a40aea410ffc1a2deb8b3d1f79dd5258b41d6e4931027a11f66cdc44b389e3,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5668666730728416,0.9999973906286629,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8813870925215561,0.9999973906286629
nstxuE204645A16t015/N8/egn08w.6898E+01,nstxuE204645A16t015,8,last,adfdd207ee0a6c44ef8b8ad5b4bd1fea2f0e98b0f6beb80d6f8e4153ea7cc11f,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5188213972945293,0.9999977957744011,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8198147110475162,0.9999977957744011
nstxuE204645A16t015/N8/egn08w.6898E+01,nstxuE204645A16t015,8,mean,adfdd207ee0a6c44ef8b8ad5b4bd1fea2f0e98b0f6beb80d6f8e4153ea7cc11f,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5188213972945293,0.9999977957744011,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8640884352490875,0.9999977957744011
nstxuE204645A16t015/N8/egn08w.7812E+01,nstxuE204645A16t015,8,last,ef2f62d874f796e8433f5931f3a0382649e891d9d2740afc3411f1f63c814fb6,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3426592845243846,0.999978086465332,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.7243949545744626,0.999978086465332
nstxuE204645A16t015/N8/egn08w.7812E+01,nstxuE204645A16t015,8,mean,ef2f62d874f796e8433f5931f3a0382649e891d9d2740afc3411f1f63c814fb6,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3426592845243846,0.999978086465332,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8004152038938759,0.999978086465332
nstxuE204645A16t015/N9/egn09w.5044E+01,nstxuE204645A16t015,9,last,e7ae9923a7be9990f249cb71f01fe3707bb7720cafba2d16e7d06882213f61eb,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9312143822183907,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9777989033776923,1.0
