shot,checked_methods,rule_evaluated,routed_eae,invalid,final_good_before_dedup,selected_good,final_bad,manual_overrides,review_status
nstxuE204621A03t030,rules|rf-cnn,155,895,0,18,18,137,1,prior_reviewed_cohort
nstxuE204636A01t017,rules,98,456,0,32,32,66,0,not_visually_reviewed
nstxuE204636A01t020,rules|rf-cnn,120,528,0,46,46,74,2,prior_reviewed_cohort
nstxuE204636A01t025,rules,199,174,0,78,77,121,0,not_visually_reviewed
nstxuE204645A16t015,rules|rf-cnn,172,363,0,89,84,83,2,prior_reviewed_cohort
nstxuE204645A16t020,rules,159,83,0,34,34,125,0,not_visually_reviewed
nstxuE204645A16t025,rules,226,300,0,106,106,120,0,not_visually_reviewed
nstxuE204645A16t030,rules,141,322,0,61,61,80,0,not_visually_reviewed
nstxuE204669M03t015,rules,153,515,0,31,31,122,0,not_visually_reviewed
nstxuE204669M03t020,rules,24,182,0,7,7,17,0,not_visually_reviewed
nstxuE204669M03t030,rules,179,770,0,18,18,161,0,not_visually_reviewed
nstxuE204678M01t017,rules|rf-cnn,165,137,0,72,70,93,0,prior_reviewed_cohort
nstxuE204678M01t020,rules,144,294,0,38,37,106,0,not_visually_reviewed
nstxuE204678M01t025,rules,148,472,0,49,49,99,0,not_visually_reviewed
nstxuE204678M01t030,rules,234,562,0,70,70,164,0,not_visually_reviewed
nstxuE204707A04t015,rules,175,350,0,62,62,113,0,not_visually_reviewed
nstxuE204707A04t020,rules,173,450,0,35,35,138,0,not_visually_reviewed
nstxuE204707A04t025,rules,224,932,0,51,51,173,0,not_visually_reviewed
nstxuE204707A04t030,rules|rf-cnn,234,900,0,61,61,173,1,prior_reviewed_cohort
nstxuE204707X02t017,rules,147,460,0,12,11,135,0,not_visually_reviewed
nstxuE204707X02t020,rules,226,433,0,36,34,190,0,not_visually_reviewed
nstxuE204707X02t027,rules,216,733,0,58,58,158,0,not_visually_reviewed
nstxuE204707X02t035,rules,156,329,0,51,51,105,0,not_visually_reviewed
nstxuE204708A06t017,rules,190,465,0,105,103,85,0,not_visually_reviewed
nstxuE204708A06t020,rules,230,440,0,103,102,127,0,not_visually_reviewed
nstxuE204708A06t025,rules,163,244,0,48,48,115,0,not_visually_reviewed
nstxuE204708A06t035,rules,205,220,0,89,89,116,0,not_visually_reviewed
nstxuE204708F03t017,rules|rf-cnn,160,463,0,90,90,70,0,prior_reviewed_cohort
nstxuE204708F03t020,rules,300,452,0,109,104,191,0,not_visually_reviewed
nstxuE204708F03t025,rules,193,283,0,62,62,131,0,not_visually_reviewed
nstxuE204708F03t035,rules,199,208,0,95,94,104,0,not_visually_reviewed
nstxuE204944A01t017,rules|rf-cnn,77,311,0,26,26,51,0,prior_reviewed_cohort
nstxuE204944A01t020,rules,123,474,0,46,46,77,0,not_visually_reviewed
nstxuE204944A01t027,rules,121,454,0,31,31,90,0,not_visually_reviewed
nstxuE204944A01t035,rules,150,334,0,83,82,67,0,not_visually_reviewed
nstxuE204954A01t017,rules,132,444,0,30,30,102,0,not_visually_reviewed
nstxuE204954A01t022,rules|rf-cnn,117,386,0,27,27,90,0,prior_reviewed_cohort
nstxuE204955F02t017,rules|rf-cnn,190,490,0,61,60,129,2,prior_reviewed_cohort
nstxuE204955F02t020,rules,96,378,0,41,40,55,0,not_visually_reviewed
nstxuE204955F02t023,rules,142,231,0,66,66,76,0,not_visually_reviewed
nstxuE204955F02t025,rules,217,347,0,95,95,122,0,not_visually_reviewed
nstxuE204957F05t017,rules,191,315,0,81,81,110,0,not_visually_reviewed
nstxuE204957F05t020,rules,217,390,0,56,56,161,0,not_visually_reviewed
nstxuE204957F05t027,rules,243,505,0,83,82,160,0,not_visually_reviewed
nstxuE204957F05t034,rules,199,442,0,63,63,136,0,not_visually_reviewed
nstxuE205016A01t017,rules,130,713,0,45,45,85,0,not_visually_reviewed
nstxuE205016A01t020,rules,91,302,0,35,35,56,0,not_visually_reviewed
nstxuE205016A01t025,rules,163,235,0,52,50,111,0,not_visually_reviewed
nstxuE205016A01t032,rules,195,524,0,63,63,132,0,not_visually_reviewed
nstxuE205017A01t017,rules,111,290,0,20,19,91,0,not_visually_reviewed
nstxuE205017A01t020,rules,81,557,0,21,21,60,0,not_visually_reviewed
nstxuE205017A01t025,rules|rf-cnn,219,634,0,60,60,159,0,prior_reviewed_cohort
nstxuE205017A01t030,rules,270,614,0,73,73,197,0,not_visually_reviewed
nstxuE205034A01t017,rules,60,366,0,2,2,58,0,not_visually_reviewed
nstxuE205034A01t020,rules,68,511,0,16,16,52,0,not_visually_reviewed
nstxuE205034A01t021,rules,87,677,0,23,23,64,0,not_visually_reviewed
nstxuE205034A01t023,rules,90,652,0,41,41,49,0,not_visually_reviewed
nstxuE205035A01t017,rules,105,376,0,4,4,101,0,not_visually_reviewed
nstxuE205035A01t020,rules|rf-cnn,52,183,0,7,7,45,0,prior_reviewed_cohort
nstxuE205035A01t025,rules,74,123,0,38,38,36,0,not_visually_reviewed
nstxuE205035A01t030,rules,204,383,0,118,118,86,0,not_visually_reviewed
nstxuE205040A01t016,rules|rf-cnn,147,150,0,89,89,58,1,prior_reviewed_cohort
nstxuE205040A01t018,rules,64,183,0,15,15,49,0,not_visually_reviewed
nstxuE205040A01t020,rules,64,232,0,5,5,59,0,not_visually_reviewed
nstxuE205040A01t022,rules,136,336,0,40,40,96,0,not_visually_reviewed
nstxuE205042A01t017,rules,66,157,0,21,21,45,0,not_visually_reviewed
nstxuE205042A01t020,rules,122,319,0,51,51,71,0,not_visually_reviewed
nstxuE205042A01t022,rules|rf-cnn,84,175,0,24,24,60,0,prior_reviewed_cohort
nstxuE205045A01t017,rules,368,414,0,121,118,247,0,not_visually_reviewed
nstxuE205045A01t022,rules|rf-cnn,303,824,0,22,22,281,0,prior_reviewed_cohort
nstxuE205045A01t027,rules,163,457,0,60,60,103,0,not_visually_reviewed
nstxuE205045A01t035,rules,163,457,0,60,60,103,0,not_visually_reviewed
nstxuE205052A01t017,rules,179,664,0,30,30,149,0,not_visually_reviewed
nstxuE205052A01t027,rules,89,647,0,10,10,79,0,not_visually_reviewed
nstxuE205052A01t035,rules,111,304,0,34,34,77,0,not_visually_reviewed
nstxuE205054A01t017,rules,187,712,0,37,37,150,0,not_visually_reviewed
nstxuE205054A01t020,rules,173,562,0,36,35,137,0,not_visually_reviewed
nstxuE205054A01t027,rules,120,288,0,46,46,74,0,not_visually_reviewed
nstxuE205054A01t037,rules|rf-cnn,217,422,0,33,33,184,0,prior_reviewed_cohort
nstxuE205055A01t017,rules,358,640,0,145,145,213,0,not_visually_reviewed
nstxuE205055A01t022,rules|rf-cnn,155,862,0,67,66,88,0,prior_reviewed_cohort
nstxuE205055A01t027,rules,95,646,0,12,12,83,0,not_visually_reviewed
nstxuE205055A01t037,rules,200,320,0,45,44,155,0,not_visually_reviewed
nstxuE205057A01t017,rules,183,801,0,42,42,141,0,not_visually_reviewed
nstxuE205057A01t020,rules|rf-cnn,228,739,0,37,37,191,1,prior_reviewed_cohort
nstxuE205057A01t025,rules,156,467,0,15,15,141,0,not_visually_reviewed
nstxuE205057A01t030,rules,200,856,0,3,3,197,0,not_visually_reviewed
nstxuE205059A01t017,rules,129,591,0,21,20,108,0,not_visually_reviewed
nstxuE205059A01t020,rules,214,657,0,50,50,164,0,not_visually_reviewed
nstxuE205059A01t030,rules,132,695,0,11,11,121,0,not_visually_reviewed
nstxuE205072A02t017,rules,311,321,0,163,162,148,0,not_visually_reviewed
nstxuE205072A02t020,rules,259,462,0,50,47,209,0,not_visually_reviewed
nstxuE205072A02t027,rules,198,830,0,89,89,109,0,not_visually_reviewed
nstxuE205072A02t034,rules,104,301,0,5,5,99,0,not_visually_reviewed
nstxuG121123K34,rules|rf-cnn,160,1001,97,1,1,159,0,prior_reviewed_cohort
nstxuG121123K70,rules|rf-cnn,87,391,0,7,7,80,0,prior_reviewed_cohort
nstxuG121123N80,rules|rf-cnn,160,26,0,10,10,150,1,prior_reviewed_cohort
nstxuG133964R06,rules|rf-cnn,0,0,610,0,0,0,0,prior_reviewed_cohort
nstxuG142301C50,rules|rf-cnn,202,354,0,0,0,202,0,prior_reviewed_cohort
nstxuG142301E72,rules|rf-cnn,61,587,0,0,0,61,0,prior_reviewed_cohort
nstxuG142301H56,rules|rf-cnn,208,705,0,1,1,207,1,prior_reviewed_cohort
nstxuG142301L94,rules|rf-cnn,115,843,0,5,5,110,0,prior_reviewed_cohort
nstxuG142301Q91,rules,158,302,0,0,0,158,0,not_visually_reviewed
nstxuG142301S39,rules,140,544,0,3,3,137,0,not_visually_reviewed
nstxuG142301U84,rules|rf-cnn,172,929,0,16,16,156,0,prior_reviewed_cohort
nstxuG142301V21,rules|rf-cnn,131,820,0,8,8,123,0,prior_reviewed_cohort
